기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20233,A,골목상권,3111090,강일동주민센터,61730,30320,31409,11763,6013,10149,11711,7606,14486,15486,13259,7515,7517,10101,7852,8952,8916,8763,8810,8793,8736,8760
20233,A,골목상권,3111089,상일여고(상일초등학교),889488,440680,448806,130583,87110,132727,163257,152070,223740,220348,192568,111514,102872,149659,112526,132543,129982,130713,128754,128856,118749,119891
20233,A,골목상권,3111088,고덕동성당,291729,138398,153332,60317,27059,40577,52979,40438,70360,72666,64138,34589,33461,48312,38563,41248,40958,41266,41094,40917,42677,43567
20233,A,골목상권,3111087,고덕중학교(고덕2동주민센터),188169,92904,95266,41294,17413,24092,31561,27835,45973,60282,42349,19075,17239,23804,25422,27700,27530,27650,27786,27007,25003,25491
20233,A,골목상권,3111086,한영중고,417454,188649,228805,121196,33044,39672,67663,53085,102795,86365,87894,60565,58757,76386,47486,61248,60923,60760,60494,59848,57215,56966
20233,A,골목상권,3111085,묘곡초등학교(고덕아이파크아파트),812962,424513,388449,172263,85939,106650,131276,130494,186340,194661,178936,103271,104856,131673,99564,117863,116672,115726,115201,114171,117161,116169
20233,A,골목상권,3111084,길동신동아아파트,193211,87816,105396,39540,18009,27873,28662,30700,48426,54930,41603,21998,20630,28721,25332,27670,27143,26961,27197,26776,27894,29568
20233,A,골목상권,3111083,GS강동자이아파트,813934,371239,442696,163037,83538,106793,126388,125566,208612,212542,161375,93000,98326,142925,105767,111748,112055,110594,111605,110200,124893,132841
20233,A,골목상권,3111082,중앙보훈병원,149464,73483,75981,23413,14750,19733,23032,26157,42379,43965,30257,15456,15859,23145,20784,21152,20808,20771,20823,20418,22314,23179
20233,A,골목상권,3111081,둔촌푸르지오아파트,281781,132373,149407,51922,32972,37521,39769,44537,75060,69442,57319,33505,34536,50493,36487,39584,39444,39614,39437,39657,40935,43108
20233,A,골목상권,3111080,굽은다리역 3번,610353,271101,339252,96830,69241,77631,97604,92526,176524,152230,121732,71420,72247,109959,82766,82814,84183,85185,83306,84180,89357,101327
20233,A,골목상권,3111079,둔촌고등학교(둔촌중학교),386887,192151,194737,67024,40026,53072,56871,58488,111406,95591,88342,51950,47033,58982,44988,56971,56605,56273,55780,54749,51705,54806
20233,A,골목상권,3111078,굽은다리역 4번,3945714,1810590,2135124,680398,445909,579300,602748,597835,1039526,1225650,822975,405896,387872,564991,538332,567152,558640,553862,555907,552650,566998,590505
20233,A,골목상권,3111077,길동주민센터(강동도서관),3343166,1511325,1831842,482988,386373,477311,514217,539651,942626,880052,676972,399275,402025,559380,425462,476179,473874,473779,470763,471656,484827,492088
20233,A,골목상권,3111076,둔촌2동주민센터,384125,186322,197805,69847,44202,51057,55419,63659,99943,95410,76821,47868,49949,67180,46897,54899,54154,54503,54010,54305,55628,56628
20233,A,골목상권,3111075,굽은다리역 2번,1418613,641073,777541,241154,157693,199203,220377,223019,377167,456092,301147,141765,133575,191879,194157,201519,201523,201423,201229,200815,203322,208784
20233,A,골목상권,3111074,명일역 1번,561826,256452,305373,108696,58056,69376,92898,87068,145732,186890,116529,55218,52670,75215,75304,78965,78895,78580,78321,78125,82926,86015
20233,A,골목상권,3111073,둔촌동역 1번(한산중학교),3637953,1758059,1879894,727113,438297,514555,583911,517234,856843,995320,775451,418542,408629,565071,474940,529414,523573,523369,518410,511876,506203,525107
20233,A,골목상권,3111072,굽은다리역 1번(십자성마을),1789574,830240,959334,298858,197906,278928,274656,259742,479484,499112,361344,190413,196214,295747,246744,252746,250377,249374,251046,248402,262193,275436
20233,A,골목상권,3111071,천동초등학교,575139,261182,313958,67521,80326,90175,86433,97421,153265,153208,118139,67165,66181,96414,74034,82888,82232,81964,81423,81442,82441,82750
20233,A,골목상권,3111070,천호초등학교,1419321,677274,742047,240143,162378,230019,229495,221806,335479,406481,302256,153862,155876,214896,185949,202277,201254,199728,200908,199464,201529,214162
20233,A,골목상권,3111069,천호1동주민센터,2528194,1179464,1348729,466128,284436,385628,396880,367451,627672,748907,525328,270431,265669,378778,339078,362640,361531,357539,357905,353270,357456,377852
20233,A,골목상권,3111068,강동성심병원,258160,119573,138588,21506,45220,52838,46499,38592,53505,66955,56826,31731,29395,39074,34181,38306,38103,38048,37521,36693,35106,34385
20233,A,골목상권,3111067,강동구립성내도서관,2451733,1149105,1302627,282853,355278,408465,420029,380062,605044,756580,503775,242600,237520,367313,343944,347145,344473,342649,344538,341478,359375,372074
20233,A,골목상권,3111066,암사동성당(효정하나플러스아파트),1257859,611245,646614,199980,154616,206186,210389,194630,292060,349113,260282,134483,133428,202570,177981,181106,180757,179075,180221,178085,175836,182778
20233,A,골목상권,3111065,천일초등학교,557523,267604,289919,76605,74021,88064,75328,92743,150765,172430,113359,55348,54750,84529,77110,78237,77944,77574,78363,76793,81691,86921
20233,A,골목상권,3111064,둔촌동역 4번,501779,242085,259694,77041,62916,62067,83262,84221,132273,152240,101168,51656,49931,76469,70313,71853,70815,70238,70172,69720,72761,76222
