기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수
20231,A,골목상권,3110692,큰굴다리,1611,837,774,137,185,206,223,257,603,66,90,106,125,145,305,71,95,100,98,112,298,734,0,734
20232,A,골목상권,3110002,독립문역 1번,663,326,337,52,60,53,79,111,308,30,31,23,44,58,140,22,29,30,35,53,168,343,0,343
20232,A,골목상권,3110003,세검정초등학교,2926,1417,1509,331,413,381,381,533,887,165,206,210,180,237,419,166,207,171,201,296,468,1270,0,1270
20232,A,골목상권,3110004,대신고등학교,529,259,270,51,55,57,78,94,194,28,32,28,39,49,83,23,23,29,39,45,111,244,0,244
20232,A,골목상권,3110005,세검정,2153,1046,1107,243,308,267,285,410,640,133,171,138,124,181,299,110,137,129,161,229,341,878,0,878
20232,A,골목상권,3110006,부암동주민센터,671,329,342,46,68,70,66,127,294,27,40,37,28,65,132,19,28,33,38,62,162,384,0,384
20232,A,골목상권,3110007,사직공원(한국사회과학도서관),2073,950,1123,256,225,309,330,332,621,123,112,136,168,142,269,133,113,173,162,190,352,885,0,885
20232,A,골목상권,3110008,배화여자대학교(박노수미술관),5038,2280,2758,621,598,669,863,875,1412,308,266,314,382,417,593,313,332,355,481,458,819,2045,0,2045
20232,A,골목상권,3110001,이북5도청사,1011,475,536,116,130,122,119,171,353,66,59,70,53,73,154,50,71,52,66,98,199,401,0,401
20232,A,골목상권,3110009,자하문터널,1622,787,835,159,207,221,257,302,476,95,114,117,114,129,218,64,93,104,143,173,258,713,0,713
20232,A,골목상권,3110010,평창동서측,3015,1401,1614,295,368,395,409,517,1031,158,190,193,188,223,449,137,178,202,221,294,582,1417,0,1417
20232,A,골목상권,3110011,청운초등학교,432,204,228,59,67,44,71,83,108,33,41,17,30,36,47,26,26,27,41,47,61,164,0,164
20232,A,골목상권,3110012,성곡미술관,1916,878,1038,262,212,252,312,358,520,138,94,123,131,159,233,124,118,129,181,199,287,847,0,847
20232,A,골목상권,3110013,체부동홍종문가옥,292,137,155,25,30,53,54,46,84,16,15,19,29,19,39,9,15,34,25,27,45,198,0,198
20232,A,골목상권,3110014,경복고등학교,916,447,469,87,122,82,125,165,335,48,76,38,54,79,152,39,46,44,71,86,183,464,0,464
20232,A,골목상권,3110015,청와대사랑채,672,309,363,89,83,94,112,120,174,48,40,38,50,51,82,41,43,56,62,69,92,254,0,254
20232,A,골목상권,3110016,평창동동측,1988,982,1006,217,199,253,247,295,777,118,112,142,125,131,354,99,87,111,122,164,423,901,0,901
20232,A,골목상권,3110017,정독도서관,700,341,359,99,73,76,111,126,215,59,42,35,50,61,94,40,31,41,61,65,121,321,0,321
20232,A,골목상권,3110018,중앙고등학교,2897,1357,1540,278,340,383,489,520,887,131,164,185,222,258,397,147,176,198,267,262,490,1295,0,1295
20232,A,골목상권,3110019,창덕궁,271,150,121,11,16,30,37,45,132,4,8,18,22,30,68,7,8,12,15,15,64,159,0,159
20232,A,골목상권,3110020,서울국제고등학교,4097,2131,1966,312,589,953,537,556,1150,149,289,615,282,285,511,163,300,338,255,271,639,2299,0,2299
20232,A,골목상권,3110021,성균관대학교,1851,925,926,129,316,522,230,207,447,70,121,298,117,103,216,59,195,224,113,104,231,1229,0,1229
20232,A,골목상권,3110022,경신고등학교,1513,742,771,187,235,281,254,224,332,96,118,158,121,107,142,91,117,123,133,117,190,784,0,784
20232,A,골목상권,3110023,서울대병원,681,301,380,47,60,233,106,76,159,24,31,96,49,35,66,23,29,137,57,41,93,365,0,365
20232,A,골목상권,3110024,혜회동주민센터,980,436,544,100,170,194,138,144,234,53,78,86,53,63,103,47,92,108,85,81,131,800,0,800
20232,A,골목상권,3110025,충신시장옆,523,280,243,32,51,96,78,86,180,18,31,53,45,46,87,14,20,43,33,40,93,264,0,264
20232,A,골목상권,3110026,종로5가역 4번,130,61,69,7,13,16,13,24,57,0,8,4,7,11,31,7,5,12,6,13,26,62,0,62
20232,A,골목상권,3110027,혜화역 1번,2999,1400,1599,262,347,594,470,455,871,116,159,298,237,223,367,146,188,296,233,232,504,1450,0,1450
20232,A,골목상권,3110028,이화달팽이길,4475,2311,2164,254,679,787,518,817,1420,120,386,412,293,414,686,134,293,375,225,403,734,2181,0,2181
20232,A,골목상권,3110029,동대문역 1번,6133,3169,2964,458,788,794,763,1261,2069,253,414,422,430,663,987,205,374,372,333,598,1082,2569,0,2569
20232,A,골목상권,3110030,동대문역 3번,239,122,117,14,21,40,25,52,87,7,12,26,10,27,40,7,9,14,15,25,47,116,0,116
20232,A,골목상권,3110031,창신역 1번,350,180,170,26,41,56,38,65,124,14,21,35,19,28,63,12,20,21,19,37,61,266,0,266
20232,A,골목상권,3110032,수족관거리,32,15,17,1,2,4,5,8,12,0,0,2,4,5,4,1,2,2,1,3,8,16,0,16
20232,A,골목상권,3110033,창신역 4번,2222,1111,1111,182,228,304,323,411,774,98,119,159,173,210,352,84,109,145,150,201,422,1077,0,1077
20232,A,골목상권,3110034,창신1동주민센터,330,192,138,1,2,6,27,60,234,0,1,2,15,35,139,1,1,4,12,25,95,308,0,308
20232,A,골목상권,3110035,동묘앞역 2번,3851,1990,1861,241,391,543,511,758,1407,138,189,284,283,403,693,103,202,259,228,355,714,2014,0,2014
20232,A,골목상권,3110036,동묘앞역 3번,162,102,60,3,10,38,22,28,61,1,4,26,16,16,39,2,6,12,6,12,22,342,0,342
20232,A,골목상권,3110037,신설동역 12번,1645,801,844,128,159,233,243,281,601,67,78,117,129,139,271,61,81,116,114,142,330,807,0,807
20232,A,골목상권,3110038,경향신문사,15,12,3,2,0,3,2,2,6,2,0,3,2,2,3,0,0,0,0,0,3,7,0,7
20232,A,골목상권,3110039,회현역 1번,92,53,39,8,10,5,13,16,40,7,2,4,11,10,19,1,8,1,2,6,21,51,0,51
20232,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),1084,503,581,73,92,141,163,157,458,32,48,73,86,77,187,41,44,68,77,80,271,482,0,482
20232,A,골목상권,3110041,남산케이블카,765,386,379,81,61,132,126,125,240,40,33,79,66,65,103,41,28,53,60,60,137,439,0,439
20232,A,골목상권,3110042,남산골공원옆,934,456,478,81,73,175,140,141,324,39,33,91,70,75,148,42,40,84,70,66,176,532,0,532
20232,A,골목상권,3110043,충무초등학교,2059,1095,964,161,339,622,262,241,434,83,144,394,143,125,206,78,195,228,119,116,228,1458,0,1458
20232,A,골목상권,3110044,관성묘,259,119,140,23,29,54,46,37,70,12,13,29,25,15,25,11,16,25,21,22,45,130,0,130
20232,A,골목상권,3110045,동대문역사문화공원역 5번,999,495,504,67,89,170,130,141,402,36,39,94,69,74,183,31,50,76,61,67,219,528,0,528
20232,A,골목상권,3110046,버티고개,4037,2045,1992,351,473,706,637,648,1222,196,256,398,335,318,542,155,217,308,302,330,680,1656,0,1656
20232,A,골목상권,3110047,다산성곽길,3006,1461,1545,249,336,410,421,532,1058,128,176,215,200,278,464,121,160,195,221,254,594,1360,0,1360
20232,A,골목상권,3110048,장충동주민센터,2658,1284,1374,257,291,498,419,425,768,133,146,247,205,203,350,124,145,251,214,222,418,1262,0,1262
20232,A,골목상권,3110049,장충단 고개,2063,964,1099,231,231,436,360,306,499,112,112,204,177,137,222,119,119,232,183,169,277,988,0,988
20232,A,골목상권,3110050,약수역 7번,850,391,459,62,93,150,117,137,291,32,49,59,53,74,124,30,44,91,64,63,167,396,0,396
20232,A,골목상권,3110051,한양공고앞 교차로,1236,641,595,88,117,178,159,231,463,41,59,101,95,120,225,47,58,77,64,111,238,710,0,710
20232,A,골목상권,3110052,장충초등학교,1915,948,967,172,226,305,259,353,600,82,109,157,143,181,276,90,117,148,116,172,324,876,0,876
