기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권배후지_코드,상권배후지_코드_명,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수
20231,A,골목상권,3110019,창덕궁,1793,1101,692,90,103,207,238,339,816,55,51,127,137,234,497,35,52,80,101,105,319,1225,0,1225
20231,A,골목상권,3110001,이북5도청사,3152,1528,1624,387,418,372,391,541,1043,202,215,206,180,233,492,185,203,166,211,308,551,1134,0,1134
20231,A,골목상권,3110008,배화여자대학교(박노수미술관),11592,5363,6229,1524,1322,1592,1998,1934,3222,794,620,750,899,908,1392,730,702,842,1099,1026,1830,4836,0,4836
20231,A,골목상권,3110009,자하문터널,3472,1701,1771,337,413,448,499,636,1139,201,232,239,218,296,515,136,181,209,281,340,624,1494,0,1494
20231,A,골목상권,3110006,부암동주민센터,2063,1023,1040,196,239,241,269,370,748,116,143,126,121,179,338,80,96,115,148,191,410,869,0,869
20231,A,골목상권,3110010,평창동서측,8009,3781,4228,961,1003,1008,1077,1423,2537,506,515,505,482,634,1139,455,488,503,595,789,1398,3067,0,3067
20231,A,골목상권,3110002,독립문역 1번,6821,3201,3620,948,816,720,997,1234,2106,456,377,342,461,620,945,492,439,378,536,614,1161,2467,0,2467
20231,A,골목상권,3110007,사직공원(한국사회과학도서관),9521,4411,5110,1192,1050,1227,1437,1633,2982,590,499,562,671,778,1311,602,551,665,766,855,1671,3920,0,3920
20231,A,골목상권,3110003,세검정초등학교,8082,3919,4163,951,1158,1048,1026,1525,2374,489,595,565,457,691,1122,462,563,483,569,834,1252,2970,0,2970
20231,A,골목상권,3110004,대신고등학교,9019,4224,4795,1095,1040,977,1303,1607,2997,529,500,466,608,806,1315,566,540,511,695,801,1682,3794,0,3794
