"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20231","A","골목상권","3110028","이화달팽이길","2385268","05","6702328742","1944402461","807492460","501553112","934904610","1024443009","239620170","217594134","746441573","285877213"
"20231","A","골목상권","3110029","동대문역 1번","2489712","06","10618476817","3107989164","1264723090","777623415","1510029572","1606057557","378602936","337279236","1194219549","441952298"
"20231","A","골목상권","3110030","동대문역 3번","2336105","05","4619850101","1302059698","562383819","349270511","641449729","721956604","180422870","145428641","520787230","196090999"
"20231","A","골목상권","3110031","창신역 1번","3019064","07","4558031299","1293464368","538171739","313284000","625617008","707015706","153988017","137996266","599037132","189457063"
"20231","A","골목상권","3110032","수족관거리","2226782","05","2438008337","594690222","315343142","200137499","305277433","397085148","124006643","76494947","320277005","104696298"
"20231","A","골목상권","3110033","창신역 4번","2587415","06","6763906663","1883702816","808082721","497784016","922687490","1069967012","247163735","208127512","844706823","281684538"
"20231","A","골목상권","3110034","창신1동주민센터","2540212","06","4322226863","1053021685","546602759","345234109","535206820","734000927","201457677","132200759","589541928","184960199"
"20231","A","골목상권","3110035","동묘앞역 2번","2566516","06","9333726989","2403783567","1157267166","724931205","1202710941","1499234919","382937038","293820117","1265548103","403493933"
"20231","A","골목상권","3110036","동묘앞역 3번","2670852","06","6294241127","1542659233","782248270","497760369","775285405","1035492218","268431210","197527393","923550640","271286389"
"20231","A","골목상권","3110037","신설동역 12번","2450663","06","6129175770","1638166842","747232672","464181360","805183790","1010662367","228865793","190673710","780260537","263948699"
"20231","A","골목상권","3110038","경향신문사","5911238","09","206292886","49272223","27739561","16565975","24820166","36348848","12129783","6042386","24756440","8617504"
"20231","A","골목상권","3110039","회현역 1번","5005079","09","3136463353","785287302","412320852","257808845","407877000","569184546","161881007","93704053","309619782","138779966"
"20231","A","골목상권","3110040","중구회현체육센터(정화예술대남산캠퍼스)","4524832","08","3953669043","985633870","519234853","325399565","511337130","716274428","206373824","117932330","398341216","173141827"
"20231","A","골목상권","3110041","남산케이블카","4293963","08","3463387586","864239876","452290931","284344728","448317513","627462772","175851830","103615674","355312941","151951321"
"20231","A","골목상권","3110042","남산골공원옆","3063917","07","2165308289","527744426","280910440","172245847","261774381","353073762","92513359","72816384","303886028","100343662"
"20231","A","골목상권","3110043","충무초등학교","3395282","07","3900115499","895436756","519409038","291787284","462054831","579071358","162516457","138804916","660085409","190949450"
"20231","A","골목상권","3110044","관성묘","2692627","06","2484031749","573685035","336730378","173645176","298405265","338865036","95927144","93911275","445342387","127520053"
"20231","A","골목상권","3110045","동대문역사문화공원역 5번","2743781","06","2289281149","575512392","288954544","176241443","285533315","359901551","92431823","75528078","332977497","102200506"
"20231","A","골목상권","3110046","버티고개","2740788","06","7205100532","1803998665","891475464","563214791","905258780","1250073943","302655658","216851787","965629971","305941473"
"20231","A","골목상권","3110047","다산성곽길","2709686","06","7017745215","1759313871","871121231","555791938","875298544","1210616832","294143300","214003955","937548884","299906660"
"20231","A","골목상권","3110048","장충동주민센터","2654168","06","6199148431","1632881746","767451981","487051737","791935753","1006358066","242843230","199878461","800183496","270563961"
"20231","A","골목상권","3110049","장충단 고개","3013645","07","6290808728","1531456321","785365497","503320198","756553224","1089881803","269914954","191399672","894123085","268793974"
"20231","A","골목상권","3110050","약수역 7번","2672595","06","9746896555","2433818816","1203007555","748611928","1229774766","1711923661","396330133","290989637","1314226382","418213677"
"20231","A","골목상권","3110051","한양공고앞 교차로","2369730","05","4291548261","1205233640","522203469","339544048","575614967","673317988","158666060","141391855","490010479","185565755"
"20231","A","골목상권","3110052","장충초등학교","3146186","07","7453734531","1856873712","926213148","587824530","909064509","1268198068","309666537","229238715","1047782560","318872752"
"20231","A","골목상권","3110053","청구역 1번","2950808","06","6675752492","1773546574","817572324","514930731","866449793","1085000179","262339673","208731833","862848375","284333010"
"20231","A","골목상권","3110054","청구역 3번","3364092","07","9150931965","2294246278","1122930813","694716613","1133675680","1560950668","358882937","276470737","1317792325","391265914"
"20231","A","골목상권","3110055","황학동벼룩시장","3368671","07","5277506777","1311890178","655679628","427536409","656056693","882177736","239160002","161101714","722819960","221084457"
"20231","A","골목상권","3110056","신당역 3번","3771916","08","12611377842","3311497382","1533502365","941254878","1627730359","2085660733","485072264","381024065","1706976866","538658930"
"20231","A","골목상권","3110057","황학코아루아파트","4051719","08","4655324515","1246326880","574451158","379823080","601079777","765172961","189107180","149905281","547647789","201810409"
"20231","A","골목상권","3110058","성심여자고등학교","3648935","07","9593510592","2426034559","1152264143","699865209","1210202070","1629089068","354809030","280652798","1435195138","405398577"
"20231","A","골목상권","3110059","새남터성지","3710925","07","4805969749","1197678388","589765869","362583167","627334718","868874959","181561740","139021931","627678488","211470489"
"20231","A","골목상권","3110060","효창공원앞역 6번","3757353","08","9889318335","2554627165","1185859871","718704748","1262442281","1664280915","356361027","295026786","1432099136","419916406"
"20231","A","골목상권","3110061","효창동주민센터","3902338","08","10518312709","2636545227","1275864204","774506401","1313330723","1803216982","398911537","311555573","1558747985","445634077"
"20231","A","골목상권","3110062","한강로동땡땡거리(은행나무길)","3954828","08","3939062148","1022829561","479122097","301052198","522528976","681030876","147917492","118730385","495212052","170638511"
"20231","A","골목상권","3110063","효창공원앞역 5번","3839442","08","7720763653","1941309918","935614519","595373470","952467605","1304378889","298070487","235362052","1133332951","324853762"
"20231","A","골목상권","3110064","효창공원앞역 2번","3193268","07","7610774534","1902420395","950655251","558357005","940822701","1210938287","294056658","245172069","1172966612","335385556"
"20231","A","골목상권","3110065","남정초등학교","4056860","08","3942882312","991815999","480586648","308140973","485659959","662976322","154013597","120953140","571597190","167138484"
"20231","A","골목상권","3110066","서울역 15번","3655851","07","7234168742","2025095206","863092992","535931650","970096050","1104667400","261696219","231353123","944039889","298196213"
"20231","A","골목상권","3110067","배문고등학교","2565718","06","11736534366","3168967368","1438760443","865496842","1527807055","1779132247","427026218","386447436","1633413256","509483501"
"20231","A","골목상권","3110068","남영역 1번","3945710","08","9198502221","2297365374","1145078429","704211641","1121876617","1478480989","361762992","297730321","1389095565","402900293"
"20231","A","골목상권","3110069","숙대입구","2688894","06","8806282100","2250526246","1114416010","657887267","1095916720","1355078602","338220808","296884006","1298080230","399272211"
"20231","A","골목상권","3110070","용산세무서","5887018","09","4013987271","914935065","510945066","320641191","478613077","747000963","192196797","113721050","563831879","172102183"
"20231","A","골목상권","3110071","한강미주맨션아파트","5953666","09","6619284542","1493393828","824269033","494285153","785126517","1219435107","291179420","183236939","1050485801","277872744"
"20231","A","골목상권","3110072","열정도","4689109","08","4869878844","1170217314","592393176","389644366","569009020","834221701","197772791","148057688","765566240","202996548"
"20231","A","골목상권","3110073","삼각지역 3번","4136182","08","2371811351","605682762","293116336","197113953","298838188","408413981","95751582","75329210","294219831","103345508"
"20231","A","골목상권","3110074","서울역 12번","3282886","07","8377937356","2141139807","1037117005","654780080","1059467939","1419198205","345460002","256993547","1104283589","359497182"
"20231","A","골목상권","3110075","숙대입구역 1번","2809876","06","6582083177","1719212374","813695312","513159383","842426354","1083775252","258147923","209364615","855651441","286650523"
"20231","A","골목상권","3110076","삼각지역 14번","4718550","08","1642959220","418918871","202102754","135065218","212438179","284324226","68093516","50461171","201133138","70422147"
"20231","A","골목상권","3110077","삼광초등학교","2955401","06","7440767906","1853864289","914270281","570190897","916893061","1268469667","296838621","225528864","1077415618","317296608"
"20231","A","골목상권","3110078","이촌동점보아파트","5871864","09","6620475543","1497855367","821255180","492591538","787328975","1226778171","278265048","182559530","1049781347","284060387"
"20231","A","골목상권","3110079","후암동주민센터","3034492","07","11857113980","3011016685","1456751535","896880481","1487624346","1992879154","479078197","358651433","1672962594","501269555"
"20231","A","골목상권","3110080","해방촌예술마을","2677200","06","7538464172","1973137202","910955517","556949827","959715182","1233055208","278291252","232461848","1076423022","317475114"
"20231","A","골목상권","3110081","해방촌 남동측","2795348","06","7061047302","1893878386","848538759","527449878","910754412","1147009585","249629263","222935563","961324759","299526697"
"20231","A","골목상권","3110082","용산구청","2749046","06","3257478237","829149588","406361975","267102867","399279722","552725418","132638855","105052613","422903157","142264042"
"20231","A","골목상권","3110083","서빙고역 1번","4714270","08","3463786675","857129740","428399080","268767249","442909239","602242708","148582453","101323051","468500611","145932544"
"20231","A","골목상권","3110084","경리단길북측","3081662","07","8058521331","2055662906","979628569","621476242","1000391618","1362800596","306707892","250372217","1139251444","342229847"
"20231","A","골목상권","3110085","경리단길남측","3151460","07","7403591198","1834315763","914962920","588415811","900528490","1276215126","308408312","227973530","1038632808","314138438"
"20231","A","골목상권","3110086","이태원역 북측","3394398","07","7419142691","1823644520","927155941","601787294","894967288","1289476974","323259546","229575727","1013014626","316260775"
"20231","A","골목상권","3110087","이태원엔틱가구거리","3230428","07","5242717180","1372273465","652133275","423906183","672198543","887105829","202155510","169753340","629150745","234040290"
"20231","A","골목상권","3110088","오산고등학교","3169768","07","7529357179","1921476738","927541978","584493261","976650297","1289887595","301464253","227702346","976327128","323813583"
"20231","A","골목상권","3110089","서빙고동주민센터","2888516","06","4605762694","1160905454","558627802","351416989","587307263","780180997","180468241","136790105","657622249","192443594"
"20231","A","골목상권","3110090","한국폴리텍대학서울정수캠퍼스","3051145","07","6887995480","1819634437","851627745","539258809","914088501","1172676603","262283883","215782543","807137975","305504984"
"20231","A","골목상권","3110091","리움미술관","3863486","08","3340006501","802726523","426991734","281410566","396551885","595157555","159325890","102915540","430802718","144124090"
"20231","A","골목상권","3110092","NH농협은행 보광동지점","2813700","06","9520235986","2578337469","1173008406","755528394","1268367108","1589256105","351783911","307930939","1071623996","424399658"
"20231","A","골목상권","3110093","우사단길","2936662","06","12044731992","3152515687","1500400696","982888257","1538280307","2039330904","486033535","388184187","1426800582","530297837"
"20231","A","골목상권","3110094","오산중학교","2811813","06","3323704526","878515609","410064697","259943331","441676739","571913769","124337835","103360435","385721927","148170184"
"20231","A","골목상권","3110095","한강진역 3번","3651890","07","6759122826","1601348616","854396029","571246238","791181023","1206307161","316916416","207789746","923039702","286897895"
"20231","A","골목상권","3110096","한남힐사이드아파트","4198974","08","1714442223","399616017","216968108","145621661","201218003","311835586","82010903","51698059","232894253","72579633"
"20231","A","골목상권","3110097","한남초등학교","5810778","09","2753625705","630319818","349578799","230013780","314077748","503598499","133470838","82981089","394267233","115317901"
"20231","A","골목상권","3110098","서울독일학교","5848354","09","4406054274","1016544781","576822338","363556221","518842452","817369879","233841357","129252748","561234258","188590240"
"20231","A","골목상권","3110099","유엔빌리지길","4909649","09","6747056092","1575778932","869909238","556752914","809676500","1238842019","341467363","197702809","868837575","288088742"
"20231","A","골목상권","3110100","옥수동우편취급국","4802908","08","4481794201","1116367354","549799920","335904401","566617394","784237634","182019839","131107722","624639700","191100237"
"20231","A","골목상권","3110101","옥정중학교","4744556","08","5986619914","1484919735","734023994","449956470","761030877","1056632328","239845822","174419251","829253318","256538119"
"20231","A","골목상권","3110102","옥수역 6번","4553428","08","8879830334","2143737505","1068362104","643035686","1091951952","1582417641","322769481","256092867","1395797669","375665429"
"20231","A","골목상권","3110103","옥수터널","4605232","08","6240274089","1537456597","746779564","445610556","769640419","1087816357","224564324","182169431","986538824","259698017"
"20231","A","골목상권","3110104","신금호역 4번","4011597","08","9571877649","2518525470","1145125524","685122247","1237015813","1587896950","338331253","288328090","1366695617","404836685"
"20231","A","골목상권","3110105","금동어린이공원","3334905","07","11282772623","3025404009","1338975184","805870763","1486193107","1836343614","395607029","340810471","1583225791","470342655"
"20231","A","골목상권","3110106","금북초등학교","3616585","07","5063647510","1421596877","587206983","343490346","696141772","772068711","165914284","150761298","716883854","209583385"
"20231","A","골목상권","3110107","금호사거리","3741985","08","6274821108","1655215937","744181953","449734939","816456438","1032433618","223451731","188425065","904737182","260184245"
"20231","A","골목상권","3110108","성동구립금호도서관","4341312","08","7545703637","1987951538","884996174","516574424","977632354","1227969569","258094668","221232494","1159390854","311861562"
"20231","A","골목상권","3110109","금호삼성래미안아파트","4132337","08","7967497552","2052684798","951307491","559634543","1006139469","1329800851","283717405","234591352","1214424712","335196931"
"20231","A","골목상권","3110110","상왕십리역 6번","2853302","06","6005806940","1722277798","715619076","444203599","825890287","910419006","215627551","192175134","729378203","250216286"
"20231","A","골목상권","3110111","대현산장미원","3043031","07","6761388986","1760342265","801525420","460098448","865815035","1120146615","226966931","195489628","1043926008","287078636"
"20231","A","골목상권","3110112","행당역 2번","3692441","07","8270149516","2258104057","980508324","583846561","1108183690","1315304885","276419355","252965522","1143286154","351530968"
"20231","A","골목상권","3110113","응봉산","3681467","07","4509158562","1176701391","534795480","311655211","585701832","748012112","152223865","129561227","678105788","192401656"
"20231","A","골목상권","3110114","왕십리파출소","2913858","06","5284757356","1412962997","642247088","401183631","708013634","883211395","197655603","161854422","649796360","227832226"
"20231","A","골목상권","3110115","상왕십리역 3번","2673035","06","6271184253","1712594826","760979831","479132864","845864002","1020393177","237728874","196248683","750993754","267248242"
"20231","A","골목상권","3110116","청계천박물관","2818561","06","7210269255","1983696202","866577009","534630427","975873427","1157803403","263712800","221360241","901018261","305597485"
"20231","A","골목상권","3110117","성동구보건소","3004256","07","5215028502","1460251201","627992598","391615975","709419003","818749030","193304340","164425085","629173722","220097548"
"20231","A","골목상권","3110118","왕십리역 9번","3932622","08","5600078680","1499859564","675631002","404474118","732979056","889784916","190155638","177923023","783537188","245734175"
"20231","A","골목상권","3110119","마장지하차도","3030610","07","3814316552","1064351515","460023782","281061875","512015082","599870146","139561791","119325633","476403052","161703676"
"20231","A","골목상권","3110120","서울숲카페거리","4160265","08","2179947651","574624681","269938045","168253401","270546102","350889177","89203624","69212906","294153682","93126033"
"20231","A","골목상권","3110121","한양대역 4번","4701947","08","739547484","178386828","106661255","44155283","95678497","64809418","25581796","33820733","147165570","43288104"
"20231","A","골목상권","3110122","마장역 2번","3393812","07","5179781086","1434712032","627439747","379670242","693186476","819545318","190353424","160846641","652621798","221405408"
"20231","A","골목상권","3110123","마장역 3번","3045954","07","7491072524","2134186446","917755521","558293051","1027633575","1100163157","263879460","255456232","903387241","330317841"
"20231","A","골목상권","3110124","뚝섬역교차로","3196949","07","4832439315","1317944078","579843467","357404760","617748274","757812441","169530868","153681291","672240826","206233310"
"20231","A","골목상권","3110125","사근동살곶이상점가","2771250","06","4513436886","1208882551","594613239","310336046","599702547","543646736","151429905","180333243","696761231","227731388"
"20231","A","골목상권","3110126","서울숲역 1번","3340995","07","2763269941","709424903","336397215","205130128","343549013","458096625","106125863","83555017","403715407","117275770"
"20231","A","골목상권","3110127","성수1가1동주민센터","3414589","07","4589994346","1184195410","552325414","335700106","570918169","755554338","165821573","139868940","690977488","194632908"
"20231","A","골목상권","3110128","성원중학교","3587192","07","10590027458","2766878088","1278419856","776989408","1346850730","1753925519","378465710","322820424","1510395624","455282099"
