기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권배후지_코드,상권배후지_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
20231,A,골목상권,3110003,세검정초등학교,166,528,592,168,179,141,106,426,422,257,64,187,146,92,313913699
20232,A,골목상권,3110003,세검정초등학교,166,528,592,168,179,141,106,426,422,257,64,187,146,92,313913699
20233,A,골목상권,3110003,세검정초등학교,166,528,592,168,179,141,106,426,422,257,64,187,146,92,313913699
20232,A,골목상권,3110004,대신고등학교,172,808,182,62,0,0,300,424,41,5,9,63,210,51,210560523
20233,A,골목상권,3110004,대신고등학교,172,808,182,62,0,0,300,424,41,5,9,63,210,51,210560523
20231,A,골목상권,3110035,동묘앞역 2번,231,1461,339,31,0,0,318,859,462,16,38,83,55,53,185048275
20232,A,골목상권,3110035,동묘앞역 2번,231,1461,339,31,0,0,318,859,462,16,38,83,55,53,185048275
20233,A,골목상권,3110035,동묘앞역 2번,231,1461,339,31,0,0,318,859,462,16,38,83,55,53,185048275
20231,A,골목상권,3110011,청운초등학교,37,35,112,53,25,14,2,5,46,77,27,24,58,100,432757111
20232,A,골목상권,3110011,청운초등학교,37,35,112,53,25,14,2,5,46,77,27,24,58,100,432757111
20233,A,골목상권,3110011,청운초등학교,37,35,112,53,25,14,2,5,46,77,27,24,58,100,432757111
20231,A,골목상권,3110012,성곡미술관,102,467,117,50,70,3,64,291,141,48,43,3,117,64,291434400
20232,A,골목상권,3110012,성곡미술관,102,467,117,50,70,3,64,291,141,48,43,3,117,64,291434400
20233,A,골목상권,3110012,성곡미술관,102,467,117,50,70,3,64,291,141,48,43,3,117,64,291434400
20231,A,골목상권,3110013,체부동홍종문가옥,57,255,107,23,4,8,37,111,153,55,17,15,9,65,251713847
20232,A,골목상권,3110013,체부동홍종문가옥,57,255,107,23,4,8,37,111,153,55,17,15,9,65,251713847
20233,A,골목상권,3110013,체부동홍종문가옥,57,255,107,23,4,8,37,111,153,55,17,15,9,65,251713847
20231,A,골목상권,3110014,경복고등학교,99,390,148,19,13,27,102,218,99,89,44,8,37,62,228194694
20232,A,골목상권,3110014,경복고등학교,99,390,148,19,13,27,102,218,99,89,44,8,37,62,228194694
20233,A,골목상권,3110014,경복고등학교,99,390,148,19,13,27,102,218,99,89,44,8,37,62,228194694
20231,A,골목상권,3110015,청와대사랑채,67,232,146,17,14,31,46,154,83,82,25,6,44,68,255907663
20232,A,골목상권,3110015,청와대사랑채,67,232,146,17,14,31,46,154,83,82,25,6,44,68,255907663
20233,A,골목상권,3110015,청와대사랑채,67,232,146,17,14,31,46,154,83,82,25,6,44,68,255907663
20231,A,골목상권,3110016,평창동동측,61,36,120,68,60,65,7,45,62,61,50,38,86,128,446320151
20232,A,골목상권,3110016,평창동동측,61,36,120,68,60,65,7,45,62,61,50,38,86,128,446320151
20233,A,골목상권,3110016,평창동동측,61,36,120,68,60,65,7,45,62,61,50,38,86,128,446320151
20231,A,골목상권,3110005,세검정,135,520,500,131,29,120,115,387,433,160,14,78,113,83,278658016
20232,A,골목상권,3110005,세검정,135,520,500,131,29,120,115,387,433,160,14,78,113,83,278658016
20233,A,골목상권,3110005,세검정,135,520,500,131,29,120,115,387,433,160,14,78,113,83,278658016
20231,A,골목상권,3110006,부암동주민센터,27,62,97,19,7,10,6,58,81,36,8,5,1,85,248599058
20232,A,골목상권,3110006,부암동주민센터,27,62,97,19,7,10,6,58,81,36,8,5,1,85,248599058
20233,A,골목상권,3110006,부암동주민센터,27,62,97,19,7,10,6,58,81,36,8,5,1,85,248599058
20231,A,골목상권,3110007,사직공원(한국사회과학도서관),272,1329,179,68,45,1,393,798,128,11,42,36,214,52,207639368
20232,A,골목상권,3110007,사직공원(한국사회과학도서관),272,1329,179,68,45,1,393,798,128,11,42,36,214,52,207639368
20233,A,골목상권,3110007,사직공원(한국사회과학도서관),272,1329,179,68,45,1,393,798,128,11,42,36,214,52,207639368
20231,A,골목상권,3110037,신설동역 12번,203,1354,290,17,0,0,241,829,476,10,10,69,26,53,177521406
20232,A,골목상권,3110037,신설동역 12번,203,1354,290,17,0,0,241,829,476,10,10,69,26,53,177521406
20233,A,골목상권,3110037,신설동역 12번,203,1354,290,17,0,0,241,829,476,10,10,69,26,53,177521406
20231,A,골목상권,3110038,경향신문사,4,27,4,3,8,2,0,0,0,11,0,0,33,85,1311590909
20232,A,골목상권,3110038,경향신문사,4,27,4,3,8,2,0,0,0,11,0,0,33,85,1311590909
20233,A,골목상권,3110038,경향신문사,4,27,4,3,8,2,0,0,0,11,0,0,33,85,1311590909
20231,A,골목상권,3110039,회현역 1번,17,64,38,13,23,27,3,45,39,13,4,6,55,92,464872316
20232,A,골목상권,3110039,회현역 1번,17,64,38,13,23,27,3,45,39,13,4,6,55,92,464872316
20233,A,골목상권,3110039,회현역 1번,17,64,38,13,23,27,3,45,39,13,4,6,55,92,464872316
20231,A,골목상권,3110021,성균관대학교,117,681,267,40,10,9,277,239,283,102,55,12,39,54,205356746
20232,A,골목상권,3110021,성균관대학교,117,681,267,40,10,9,277,239,283,102,55,12,39,54,205356746
20233,A,골목상권,3110021,성균관대학교,117,681,267,40,10,9,277,239,283,102,55,12,39,54,205356746
20231,A,골목상권,3110022,경신고등학교,216,1176,557,65,48,37,338,544,600,220,90,41,50,62,224894874
20232,A,골목상권,3110022,경신고등학교,216,1176,557,65,48,37,338,544,600,220,90,41,50,62,224894874
20233,A,골목상권,3110022,경신고등학교,216,1176,557,65,48,37,338,544,600,220,90,41,50,62,224894874
20231,A,골목상권,3110023,서울대병원,70,451,11,0,0,0,221,211,25,5,0,0,0,39,108442809
20232,A,골목상권,3110023,서울대병원,70,451,11,0,0,0,221,211,25,5,0,0,0,39,108442809
20233,A,골목상권,3110023,서울대병원,70,451,11,0,0,0,221,211,25,5,0,0,0,39,108442809
20231,A,골목상권,3110024,혜회동주민센터,127,657,348,50,43,21,196,268,391,115,74,29,46,64,238567033
20232,A,골목상권,3110024,혜회동주민센터,127,657,348,50,43,21,196,268,391,115,74,29,46,64,238567033
20233,A,골목상권,3110024,혜회동주민센터,127,657,348,50,43,21,196,268,391,115,74,29,46,64,238567033
20231,A,골목상권,3110025,충신시장옆,18,121,20,2,3,0,40,72,21,13,0,0,0,45,164724835
20232,A,골목상권,3110025,충신시장옆,18,121,20,2,3,0,40,72,21,13,0,0,0,45,164724835
20233,A,골목상권,3110025,충신시장옆,18,121,20,2,3,0,40,72,21,13,0,0,0,45,164724835
20231,A,골목상권,3110026,종로5가역 4번,3,21,0,0,3,0,3,18,0,3,0,0,0,74,200211111
20232,A,골목상권,3110026,종로5가역 4번,3,21,0,0,3,0,3,18,0,3,0,0,0,74,200211111
20233,A,골목상권,3110026,종로5가역 4번,3,21,0,0,3,0,3,18,0,3,0,0,0,74,200211111
20231,A,골목상권,3110027,혜화역 1번,165,897,242,15,2,2,330,581,214,28,2,3,0,52,142838904
20232,A,골목상권,3110027,혜화역 1번,165,897,242,15,2,2,330,581,214,28,2,3,0,52,142838904
20233,A,골목상권,3110027,혜화역 1번,165,897,242,15,2,2,330,581,214,28,2,3,0,52,142838904
20231,A,골목상권,3110028,이화달팽이길,240,1375,200,11,5,1,356,979,228,29,0,0,0,50,139419080
20232,A,골목상권,3110028,이화달팽이길,240,1375,200,11,5,1,356,979,228,29,0,0,0,50,139419080
20233,A,골목상권,3110028,이화달팽이길,240,1375,200,11,5,1,356,979,228,29,0,0,0,50,139419080
20231,A,골목상권,3110029,동대문역 1번,263,1489,205,18,7,1,341,1039,217,28,63,13,19,50,149944924
20232,A,골목상권,3110029,동대문역 1번,263,1489,205,18,7,1,341,1039,217,28,63,13,19,50,149944924
20233,A,골목상권,3110029,동대문역 1번,263,1489,205,18,7,1,341,1039,217,28,63,13,19,50,149944924
20231,A,골목상권,3110030,동대문역 3번,49,290,63,3,2,0,55,174,87,4,17,6,15,48,174212764
20232,A,골목상권,3110030,동대문역 3번,49,290,63,3,2,0,55,174,87,4,17,6,15,48,174212764
20233,A,골목상권,3110030,동대문역 3번,49,290,63,3,2,0,55,174,87,4,17,6,15,48,174212764
20231,A,골목상권,3110031,창신역 1번,58,261,216,87,0,0,23,133,83,41,101,100,83,66,332760523
20232,A,골목상권,3110031,창신역 1번,58,261,216,87,0,0,23,133,83,41,101,100,83,66,332760523
20233,A,골목상권,3110031,창신역 1번,58,261,216,87,0,0,23,133,83,41,101,100,83,66,332760523
20231,A,골목상권,3110032,수족관거리,5,50,0,0,0,0,26,12,12,0,0,0,0,20,116743333
20232,A,골목상권,3110032,수족관거리,5,50,0,0,0,0,26,12,12,0,0,0,0,20,116743333
