기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권배후지_코드,상권배후지_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20191,A,골목상권,3110010,평창동서측,1081,500,581,3,175,223,214,250,216,3,64,110,112,108,103,0,111,113,102,142,113
20191,A,골목상권,3110001,이북5도청사,467,241,226,1,31,72,120,124,119,0,14,35,64,60,68,1,17,37,56,64,51
20191,A,골목상권,3110013,체부동홍종문가옥,2098,1085,1013,8,325,542,510,401,312,3,136,287,251,207,201,5,189,255,259,194,111
20191,A,골목상권,3110309,대광초등학교,2773,1558,1215,9,383,624,725,588,444,0,159,345,434,339,281,9,224,279,291,249,163
20191,A,골목상권,3110023,서울대병원,14276,5065,9211,21,3512,5012,2979,2036,716,7,827,1541,1219,1014,457,14,2685,3471,1760,1022,259
20191,A,골목상권,3110014,경복고등학교,2130,1293,837,2,361,559,406,669,133,1,181,293,219,516,83,1,180,266,187,153,50
20191,A,골목상권,3110021,성균관대학교,2568,1318,1250,10,525,686,603,465,279,4,208,318,326,286,176,6,317,368,277,179,103
20191,A,골목상권,3110020,서울국제고등학교,2085,1058,1027,5,335,545,527,461,212,2,110,238,295,261,152,3,225,307,232,200,60
20191,A,골목상권,3110051,한양공고앞 교차로,3155,1520,1635,12,477,710,789,766,401,2,195,362,381,369,211,10,282,348,408,397,190
20191,A,골목상권,3110039,회현역 1번,23283,11622,11661,86,3863,8536,7011,3385,402,36,1333,3913,3432,2649,259,50,2530,4623,3579,736,143
20191,A,골목상권,3110539,미근동,38583,20343,18240,88,6305,12128,11083,7366,1613,17,2181,6079,5724,5260,1082,71,4124,6049,5359,2106,531
20191,A,골목상권,3110589,애오개역 3번,1109,452,657,1,164,320,311,211,102,0,33,104,145,107,63,1,131,216,166,104,39
20191,A,골목상권,3110533,충정로역 7번,9179,5938,3241,8,1649,3198,2162,1258,904,2,891,2004,1548,838,655,6,758,1194,614,420,249
20191,A,골목상권,3110042,남산골공원옆,5549,3369,2180,33,953,1358,1530,1227,448,17,508,848,1015,690,291,16,445,510,515,537,157
20191,A,골목상권,3110075,숙대입구역 1번,16025,6209,9816,207,7281,3375,2261,1794,1107,44,1284,1994,1459,803,625,163,5997,1381,802,991,482
20191,A,골목상권,3110063,효창공원앞역 5번,5661,3542,2119,18,760,1714,1543,901,725,8,420,1211,982,504,417,10,340,503,561,397,308
20191,A,골목상권,3110061,효창동주민센터,2578,1496,1082,4,334,600,717,587,336,0,122,333,452,344,245,4,212,267,265,243,91
20191,A,골목상권,3110080,해방촌예술마을,1751,855,896,3,271,429,507,382,159,2,80,185,300,210,78,1,191,244,207,172,81
20191,A,골목상권,3110073,삼각지역 3번,15432,5717,9715,128,3715,4474,4159,1962,994,53,1293,1445,1281,992,653,75,2422,3029,2878,970,341
20191,A,골목상권,3110102,옥수역 6번,1381,590,791,7,277,318,333,275,171,2,98,133,134,119,104,5,179,185,199,156,67
20191,A,골목상권,3110117,성동구보건소,3479,1992,1487,4,420,859,915,852,429,2,215,552,565,442,216,2,205,307,350,410,213
20191,A,골목상권,3110116,청계천박물관,9791,6325,3466,15,985,2107,2347,2906,1431,13,514,1380,1639,1869,910,2,471,727,708,1037,521
20191,A,골목상권,3110128,성원중학교,34305,13537,20768,154,5130,7785,10628,10056,552,113,3352,5616,3305,838,313,41,1778,2169,7323,9218,239
20191,A,골목상권,3110132,성수2가3동주민센터,9271,5233,4038,47,1835,2580,2405,1602,802,15,731,1471,1410,1014,592,32,1104,1109,995,588,210
20191,A,골목상권,3110136,경수초등학교,53156,25315,27841,203,9119,12759,14833,13591,2651,141,5517,9048,6164,2885,1560,62,3602,3711,8669,10706,1091
20191,A,골목상권,3110140,건대입구역 6번,8106,4948,3158,47,1742,2048,1772,1513,984,29,982,1363,1094,831,649,18,760,685,678,682,335
20191,A,골목상권,3110130,답십리역 6번,3614,1884,1730,13,553,879,888,740,541,5,260,485,444,345,345,8,293,394,444,395,196
20191,A,골목상권,3110209,답십리 장령당공원,1524,888,636,2,175,312,398,385,252,0,85,183,232,212,176,2,90,129,166,173,76
20191,A,골목상권,3110178,장로회신학대학교,1561,846,715,9,166,342,421,374,249,8,68,180,235,180,175,1,98,162,186,194,74
20191,A,골목상권,3110159,구의역 4번,7934,4179,3755,27,1173,1740,1757,1759,1478,8,430,796,896,1002,1047,19,743,944,861,757,431
20191,A,골목상권,3110169,성동초등학교,4467,2789,1678,22,536,962,1154,1006,787,10,281,570,767,626,535,12,255,392,387,380,252
20191,A,골목상권,3110143,뚝섬유원지역 1번,992,484,508,3,128,199,268,223,171,1,41,92,127,104,119,2,87,107,141,119,52
20191,A,골목상권,3110202,전농1동주민센터(전농시장),1071,503,568,15,232,211,245,217,151,7,115,109,121,91,60,8,117,102,124,126,91
20191,A,골목상권,3110215,회기역 1번,1561,781,780,5,251,319,342,312,332,1,90,169,152,139,230,4,161,150,190,173,102
20191,A,골목상권,3110220,외대앞역 1번,2601,1363,1238,6,305,581,756,660,293,4,96,288,386,403,186,2,209,293,370,257,107
20191,A,골목상권,3110214,경희대후문,4866,2645,2221,8,563,1222,1436,1125,512,3,164,523,798,766,391,5,399,699,638,359,121
20191,A,골목상권,3110231,장안교,1357,934,423,2,253,293,342,239,228,1,170,211,228,162,162,1,83,82,114,77,66
20191,A,골목상권,3110216,전농중학교,1536,632,904,2,199,410,409,368,148,1,53,161,177,156,84,1,146,249,232,212,64
20191,A,골목상권,3110206,텃골근린공원,1418,645,773,17,249,281,375,330,166,8,111,132,186,138,70,9,138,149,189,192,96
20191,A,골목상권,3110190,고대앞사거리,2407,1198,1209,13,446,578,626,495,249,2,187,321,316,247,125,11,259,257,310,248,124
20191,A,골목상권,3110274,서일대학교,2789,1461,1328,5,308,435,695,802,544,2,107,186,368,461,337,3,201,249,327,341,207
20191,A,골목상권,3110270,혜원여고,1264,654,610,3,111,190,306,362,292,1,24,83,150,203,193,2,87,107,156,159,99
20191,A,골목상권,3110268,망우3동주민센터,1702,942,760,1,128,257,373,481,462,0,44,126,197,243,332,1,84,131,176,238,130
20191,A,골목상권,3110264,면목역 2번,2542,1167,1375,7,281,437,655,761,401,3,98,202,342,322,200,4,183,235,313,439,201
20191,A,골목상권,3110256,면목2동체육관,5023,2717,2306,13,615,1127,1444,1175,649,6,268,692,726,589,436,7,347,435,718,586,213
20191,A,골목상권,3110247,먹골역 1번,2482,1171,1311,7,374,546,624,590,341,2,129,260,289,287,204,5,245,286,335,303,137
20191,A,골목상권,3110429,공릉동 국수거리,8205,4171,4034,28,899,1393,1718,1986,2181,14,394,838,938,909,1078,14,505,555,780,1077,1103
20191,A,골목상권,3110305,보문역 5번,2683,1438,1245,15,418,539,671,604,436,4,159,298,370,335,272,11,259,241,301,269,164
20191,A,골목상권,3110421,석계역 1번,1423,735,688,7,195,236,344,351,290,1,68,124,156,193,193,6,127,112,188,158,97
20191,A,골목상권,3110378,송중동주민센터,1274,559,715,4,135,247,374,285,229,2,49,108,156,114,130,2,86,139,218,171,99
20191,A,골목상권,3110325,장곡초등학교,892,431,461,4,98,147,245,228,170,3,29,70,115,113,101,1,69,77,130,115,69
20191,A,골목상권,3110290,북한산보국문역 1번,844,430,414,2,117,121,207,226,171,1,35,51,107,137,99,1,82,70,100,89,72
20191,A,골목상권,3110284,정릉북한산국립공원입구,795,669,126,1,20,83,246,314,131,0,5,67,213,268,116,1,15,16,33,46,15
20191,A,골목상권,3110320,KB국민은행 종암동지점,1272,528,744,3,216,302,320,283,148,1,68,134,131,109,85,2,148,168,189,174,63
20191,A,골목상권,3110365,미아역 5번,2350,1034,1316,7,275,434,514,611,509,5,85,188,218,246,292,2,190,246,296,365,217
20191,A,골목상권,3110372,강북중학교,2258,922,1336,4,459,487,512,545,251,3,95,215,219,252,138,1,364,272,293,293,113
20191,A,골목상권,3110348,강북문화예술회관,1440,603,837,2,122,248,368,412,288,1,36,122,171,150,123,1,86,126,197,262,165
20191,A,골목상권,3110382,솔밭공원역 1번,1053,395,658,2,134,160,249,321,187,1,27,59,85,101,122,1,107,101,164,220,65
20191,A,골목상권,3110406,도봉산역 1번,1717,1184,533,2,91,197,433,631,363,2,37,119,275,481,270,0,54,78,158,150,93
20191,A,골목상권,3110412,창동중학교,1597,1228,369,3,78,132,258,577,549,0,30,58,153,459,528,3,48,74,105,118,21
20191,A,골목상권,3110394,방학중학교,1603,676,927,2,167,275,409,399,351,2,60,130,177,143,164,0,107,145,232,256,187
20191,A,골목상권,3110409,창동역 2번,3912,1979,1933,9,516,1014,1020,986,367,7,169,497,520,561,225,2,347,517,500,425,142
20191,A,골목상권,3110419,수락산디자인거리,3910,2309,1601,11,307,602,905,884,1201,6,139,351,470,474,869,5,168,251,435,410,332
20191,A,골목상권,3110436,상계제일중학교,1499,561,938,10,142,276,370,418,283,3,45,114,142,145,112,7,97,162,228,273,171
20191,A,골목상권,3110440,상계3동4동주민센터,418,174,244,1,47,82,127,107,54,0,13,48,47,37,29,1,34,34,80,70,25
20191,A,골목상권,3110427,노원 을지대학교병원,2095,774,1321,10,535,509,455,390,196,8,130,168,163,180,125,2,405,341,292,210,71
20191,A,골목상권,3110454,선정중학교,2288,1298,990,2,178,368,511,890,339,0,42,142,254,626,234,2,136,226,257,264,105
20191,A,골목상권,3110447,구산초등학교,1439,1010,429,2,47,90,258,644,398,0,19,32,162,533,264,2,28,58,96,111,134
20191,A,골목상권,3110479,연신내역 2번,1689,653,1036,6,232,311,448,392,300,4,68,122,183,142,134,2,164,189,265,250,166
20191,A,골목상권,3110461,새절역 2번,1687,825,862,4,238,330,377,397,341,2,97,158,180,184,204,2,141,172,197,213,137
