기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
20232,A,골목상권,3110006,부암동주민센터,3,1,,,,,,,,,,,,,,,,,,1
20233,A,골목상권,3110006,부암동주민센터,3,1,,,,,,,,,,,,,,,,,,1
20231,A,골목상권,3110007,사직공원(한국사회과학도서관),12,1,,,,,,,,,,,,,,,,,,5
20232,A,골목상권,3110007,사직공원(한국사회과학도서관),12,1,,,,,,,,,,,,,,,,,,5
20233,A,골목상권,3110007,사직공원(한국사회과학도서관),12,1,,,,,,,,,,,,,,,,,,5
20231,A,골목상권,3110037,신설동역 12번,17,,,,,,,,,,,,,,,,,,,
20232,A,골목상권,3110037,신설동역 12번,17,,,,,,,,,,,,,,,,,,,
20233,A,골목상권,3110037,신설동역 12번,17,,,,,,,,,,,,,,,,,,,
20231,A,골목상권,3110038,경향신문사,10,1,1,,,,,,,,,,,1,,,,,,2
20232,A,골목상권,3110038,경향신문사,10,1,1,,,,,,,,,,,1,,,,,,2
20233,A,골목상권,3110038,경향신문사,10,1,1,,,,,,,,,,,1,,,,,,2
20231,A,골목상권,3110039,회현역 1번,5,,,,,,,,,,,,,,1,,,,,
20232,A,골목상권,3110039,회현역 1번,5,,,,,,,,,,,,,,1,,,,,
20233,A,골목상권,3110039,회현역 1번,5,,,,,,,,,,,,,,1,,,,,
20231,A,골목상권,3110021,성균관대학교,11,,,,,2,,,,,1,,,,,,,,,2
20232,A,골목상권,3110021,성균관대학교,11,,,,,2,,,,,1,,,,,,,,,2
20233,A,골목상권,3110021,성균관대학교,11,,,,,2,,,,,1,,,,,,,,,2
20231,A,골목상권,3110022,경신고등학교,10,,,,,,,,,,2,,,,,,,,,3
20232,A,골목상권,3110022,경신고등학교,10,,,,,,,,,,2,,,,,,,,,3
20233,A,골목상권,3110022,경신고등학교,10,,,,,,,,,,2,,,,,,,,,3
20231,A,골목상권,3110023,서울대병원,6,,,,,3,,,,,,,,,,,,,,1
20232,A,골목상권,3110023,서울대병원,6,,,,,3,,,,,,,,,,,,,,1
20233,A,골목상권,3110023,서울대병원,6,,,,,3,,,,,,,,,,,,,,1
20231,A,골목상권,3110024,혜회동주민센터,9,2,,,,2,,,,,,,,,,,,,,3
20232,A,골목상권,3110024,혜회동주민센터,9,2,,,,2,,,,,,,,,,,,,,3
20233,A,골목상권,3110024,혜회동주민센터,9,2,,,,2,,,,,,,,,,,,,,3
20231,A,골목상권,3110025,충신시장옆,6,1,,,,,,,,,,,,,,,,,,
20232,A,골목상권,3110025,충신시장옆,6,1,,,,,,,,,,,,,,,,,,
20233,A,골목상권,3110025,충신시장옆,6,1,,,,,,,,,,,,,,,,,,
20231,A,골목상권,3110026,종로5가역 4번,4,2,,,,1,,,,,,,,,,,,,,
20232,A,골목상권,3110026,종로5가역 4번,4,2,,,,1,,,,,,,,,,,,,,
20233,A,골목상권,3110026,종로5가역 4번,4,2,,,,1,,,,,,,,,,,,,,
20231,A,골목상권,3110027,혜화역 1번,6,,,,,1,,,,,1,,,,,,,,,
