"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권배후지_코드","상권배후지_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"20204","A","골목상권","3110008","배화여자대학교(박노수미술관)","75","5","3","","","6","1","1","1","1","9","","","","","","","","","21"
"20204","A","골목상권","3110009","자하문터널","13","1","","","","","","","","","","","","","","","","","","8"
"20204","A","골목상권","3110010","평창동서측","69","2","3","","1","3","","","","1","","","","","","","","","","44"
"20204","A","골목상권","3110017","정독도서관","46","8","2","","","","","","1","1","2","","","","","","","","","15"
"20204","A","골목상권","3110018","중앙고등학교","50","4","4","","","1","1","1","1","2","","","","","","","","","","16"
"20204","A","골목상권","3110019","창덕궁","45","1","","","","","","","","","","","","","3","","","","","8"
"20204","A","골목상권","3110020","서울국제고등학교","71","3","1","","","4","2","1","","2","12","","","","","","","","","28"
"20204","A","골목상권","3110001","이북5도청사","33","2","","","","2","","","","","","","","","","","","","","18"
"20204","A","골목상권","3110002","독립문역 1번","35","2","1","1","","4","","1","","","","","","","","","","","1","6"
"20204","A","골목상권","3110003","세검정초등학교","73","3","2","","","3","1","2","","","2","","","","","","","","","41"
"20204","A","골목상권","3110004","대신고등학교","53","5","1","","","2","1","1","","1","","","","","","","","","","18"
"20204","A","골목상권","3110035","동묘앞역 2번","126","6","5","","1","8","","","","","","","","","3","","","","2","11"
"20204","A","골목상권","3110011","청운초등학교","13","","","","","","","1","","2","","","","","","","","","","5"
"20204","A","골목상권","3110012","성곡미술관","115","9","7","","","9","","","","","","","","3","","","","","","24"
"20204","A","골목상권","3110013","체부동홍종문가옥","48","4","1","","","3","","","","1","1","","","","","","","","","18"
"20204","A","골목상권","3110014","경복고등학교","26","4","","","","","","1","","2","","","","","","","","","","7"
"20204","A","골목상권","3110015","청와대사랑채","35","5","2","","","2","","","","","","","","","","","","","","7"
"20204","A","골목상권","3110016","평창동동측","69","2","1","","","","1","","","","1","","","","","","","","","42"
"20204","A","골목상권","3110005","세검정","48","2","2","","","1","1","2","","","1","","","","","","","","","26"
"20204","A","골목상권","3110006","부암동주민센터","8","1","","","","","","","","","","","","","","","","","","4"
"20204","A","골목상권","3110007","사직공원(한국사회과학도서관)","52","8","","","","","1","2","","1","","","","","","","","","","21"
"20204","A","골목상권","3110037","신설동역 12번","75","5","4","","","4","","1","1","1","","","","","","","","","","8"
"20204","A","골목상권","3110038","경향신문사","64","4","12","2","","9","","","4","2","1","","","2","","","","","","10"
"20204","A","골목상권","3110039","회현역 1번","64","3","3","","","4","1","","","","2","","","","2","","","","","4"
"20204","A","골목상권","3110021","성균관대학교","74","4","3","","","5","","","","","16","","","1","","","","","","15"
"20204","A","골목상권","3110022","경신고등학교","89","7","2","","","5","3","1","1","2","2","","","","","","","","","27"
"20204","A","골목상권","3110023","서울대병원","60","3","1","1","","8","","","2","","14","","","","","","","","","23"
"20204","A","골목상권","3110024","혜회동주민센터","59","3","3","","","6","3","1","","1","3","","","","","","","","","13"
"20204","A","골목상권","3110025","충신시장옆","64","6","","","","4","","1","2","","4","","","","1","","","","","15"
"20204","A","골목상권","3110026","종로5가역 4번","96","4","1","","","12","","1","","","1","","","","1","","","","","13"
"20204","A","골목상권","3110027","혜화역 1번","62","2","2","","","3","","","","","22","","","","","","","","","9"
"20204","A","골목상권","3110028","이화달팽이길","111","8","","","","8","","","2","","11","","","","","","","","","18"
"20204","A","골목상권","3110029","동대문역 1번","173","5","3","","","19","","2","","","1","","1","","5","","","","2","19"
"20204","A","골목상권","3110030","동대문역 3번","104","3","3","","","12","","","","","","","","","6","","","","","8"
"20204","A","골목상권","3110031","창신역 1번","48","6","","","","2","1","1","","1","","","","","","","","","1","17"
"20204","A","골목상권","3110032","수족관거리","58","4","3","","","3","","","","1","","","","","6","","","","","9"
"20204","A","골목상권","3110033","창신역 4번","67","5","1","","","7","1","2","","","","","","","","","","","1","16"
"20204","A","골목상권","3110034","창신1동주민센터","62","6","5","","","5","","","","1","","","1","","2","","","","2","7"
"20204","A","골목상권","3110057","황학코아루아파트","95","5","4","","","10","","1","","1","","","","","2","","","","","14"
"20204","A","골목상권","3110058","성심여자고등학교","80","4","2","","","5","2","1","1","1","","","3","","","","","","","30"
"20204","A","골목상권","3110059","새남터성지","17","2","","","","1","","","","","","","","","","","","","","3"
"20204","A","골목상권","3110036","동묘앞역 3번","59","4","4","","1","1","","","","","","","2","","4","","","","","10"
"20204","A","골목상권","3110040","중구회현체육센터(정화예술대남산캠퍼스)","47","2","2","","","1","1","","","","2","","","","1","","","","","7"
"20204","A","골목상권","3110041","남산케이블카","79","6","2","","","1","","3","","1","7","","","","5","","","","","10"
"20204","A","골목상권","3110042","남산골공원옆","24","1","1","","","2","","","","","1","","","","","","","","","4"
"20204","A","골목상권","3110043","충무초등학교","81","6","6","1","","3","","1","","","17","","","","2","","","","1","7"
"20204","A","골목상권","3110044","관성묘","44","3","3","","","1","","1","","","2","","","","2","","","","1","5"
"20204","A","골목상권","3110045","동대문역사문화공원역 5번","70","5","6","","","3","","1","","","","","","","4","","","","1","6"
"20204","A","골목상권","3110046","버티고개","42","3","1","","1","4","1","","1","1","","","","1","","","","","1","5"
"20204","A","골목상권","3110047","다산성곽길","93","4","4","","1","11","1","","1","1","","","","","","","","","2","7"
"20204","A","골목상권","3110048","장충동주민센터","76","3","2","","","3","","1","","","1","","","","6","","","","1","6"
"20204","A","골목상권","3110049","장충단 고개","82","4","1","","1","8","","2","","","","","","","","","","","2","6"
"20204","A","골목상권","3110053","청구역 1번","73","5","4","","","10","","2","","","1","","","","2","","","","2","7"
"20204","A","골목상권","3110054","청구역 3번","95","4","3","","1","11","1","3","1","1","","","","","1","","","","2","6"
"20204","A","골목상권","3110055","황학동벼룩시장","33","2","2","","","3","","","","1","","","1","","2","","","","","4"
"20204","A","골목상권","3110056","신당역 3번","142","6","4","","","14","","1","1","2","","","","","1","","","","","25"
"20204","A","골목상권","3110079","후암동주민센터","122","5","3","","","10","1","2","1","1","","","2","","9","","","","","25"
"20204","A","골목상권","3110080","해방촌예술마을","51","4","","","","5","","1","1","1","","","","","","","","","","16"
"20204","A","골목상권","3110081","해방촌 남동측","61","4","5","","","5","","1","1","1","","","","","","","","","","23"
"20204","A","골목상권","3110050","약수역 7번","101","4","3","","1","16","2","","","","","","","","","","","","2","13"
"20204","A","골목상권","3110051","한양공고앞 교차로","46","2","1","","","2","","","1","2","1","","","","3","","","","","5"
"20204","A","골목상권","3110052","장충초등학교","52","4","2","","","4","","3","","","1","","","","1","","","","2","4"
"20204","A","골목상권","3110060","효창공원앞역 6번","103","3","","","","8","1","1","","1","","","1","","","","","","2","34"
"20204","A","골목상권","3110061","효창동주민센터","78","1","1","","","7","2","1","","1","1","","","","","","","","2","28"
"20204","A","골목상권","3110062","한강로동땡땡거리(은행나무길)","74","5","5","","","11","","1","","","","","1","2","1","","","","2","12"
"20204","A","골목상권","3110063","효창공원앞역 5번","108","3","1","","","11","1","2","","","","","2","","","","","","2","32"
"20204","A","골목상권","3110064","효창공원앞역 2번","92","5","2","","","6","","1","1","1","18","","","","","","","","2","19"
"20204","A","골목상권","3110082","용산구청","51","5","4","","","3","","","","","","","3","","","","","","1","10"
"20204","A","골목상권","3110083","서빙고역 1번","20","1","","","","","","1","1","","","","","","","","","","1","9"
"20204","A","골목상권","3110084","경리단길북측","72","7","5","","","4","1","1","","1","","","","","","","","","","30"
"20204","A","골목상권","3110085","경리단길남측","68","9","6","","","3","1","1","","1","","","1","","","","","","1","21"
"20204","A","골목상권","3110086","이태원역 북측","88","12","8","","","3","","1","","1","","","3","","","","","","1","19"
"20204","A","골목상권","3110065","남정초등학교","45","2","2","","","4","1","1","","","","","","","","","","","","14"
"20204","A","골목상권","3110066","서울역 15번","76","3","3","","1","8","","","","2","","","1","","2","","","","1","21"
"20204","A","골목상권","3110067","배문고등학교","119","4","2","","","16","","1","1","1","6","","1","","1","","","","2","30"
"20204","A","골목상권","3110068","남영역 1번","114","10","4","","","8","","1","2","3","6","","1","","1","","","","1","28"
"20204","A","골목상권","3110069","숙대입구","146","7","4","","","13","","2","2","3","25","","","","1","","","","1","31"
"20204","A","골목상권","3110070","용산세무서","11","2","","","","","","","","1","","","","","","","","","","3"
"20204","A","골목상권","3110071","한강미주맨션아파트","36","4","6","","","4","","","","","","","","","","","","","","4"
"20204","A","골목상권","3110072","열정도","47","5","2","","","1","","","","","3","","2","","","","","","1","18"
"20204","A","골목상권","3110073","삼각지역 3번","33","2","1","","","1","","","","","","","","","","","","","","5"
"20204","A","골목상권","3110074","서울역 12번","97","3","3","","","10","1","","1","","","","","","12","","","","1","14"
"20204","A","골목상권","3110075","숙대입구역 1번","114","7","3","","","11","","1","1","1","1","","1","","","","","","1","27"
"20204","A","골목상권","3110076","삼각지역 14번","41","3","1","","","2","","1","","","","","","","","","","","2","5"
"20204","A","골목상권","3110077","삼광초등학교","52","3","1","","","6","","1","","1","","","2","","","","","","","10"
"20204","A","골목상권","3110078","이촌동점보아파트","40","","2","","1","6","1","1","","1","","","1","","","","","","","5"
"20204","A","골목상권","3110110","상왕십리역 6번","95","1","2","","2","8","1","2","","1","","","","","","","","","1","12"
"20204","A","골목상권","3110111","대현산장미원","36","1","","","","1","2","","","","","","","","","","","","","19"
"20204","A","골목상권","3110087","이태원엔틱가구거리","74","7","3","","","6","","1","","","6","","2","","","","","","1","15"
"20204","A","골목상권","3110088","오산고등학교","58","18","1","","","4","","","1","1","","","","","","","","","","9"
