기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20231,A,골목상권,3110001,이북5도청사,CS100001,한식음식점,405545335,9975,231456447,174088888,31045043,39785000,49968037,50319289,60339078,77721284,96367604,0,4013369,153052856,92444649,140785012,15249449,220086444,130193476,531611,9765331,31982309,54621812,108121933,145256929,6383,3592,868,1117,1397,1447,1554,1746,1846,0,157,4447,2070,3090,211,5754,3067,38,290,922,1463,2578,3531
20231,A,골목상권,3110001,이북5도청사,CS100008,분식전문점,117335358,10989,69547384,47787974,13833680,11482837,15349002,14261976,14619889,29017349,18770625,759505,42375989,43783743,17632199,12783922,0,57165267,46277608,653235,4811627,12382120,27309838,33780677,24505378,6887,4102,1309,1270,1550,1415,1343,2399,1703,34,4354,4423,1255,923,0,5672,4534,74,632,1369,2286,3454,2390
20231,A,골목상권,3110001,이북5도청사,CS100009,호프-간이주점,19577767,370,13115990,6461777,3249359,690924,3785442,2326848,3063417,4003127,2458650,1430835,0,0,0,8232938,9913994,10854661,4326388,0,1045244,455500,2983696,5270225,5426384,231,139,61,18,44,49,59,84,55,14,0,0,0,199,157,219,109,0,18,23,59,124,105
20231,A,골목상권,3110002,독립문역 1번,CS100001,한식음식점,452192952,18282,364090632,88102320,71085782,75089380,66002742,81986813,69925915,57512504,30589816,3947078,9384606,229573635,70815367,123567105,14905161,235319904,180448069,0,20222807,54943087,90368596,98742654,151490829,15237,3045,3236,2990,2888,3339,2784,1944,1101,110,466,9980,3045,4190,491,9732,7751,0,1027,2220,3501,4256,6477
20231,A,골목상권,3110003,세검정초등학교,CS100001,한식음식점,285066068,7978,220416886,64649182,40084724,40867567,44894326,34833756,59736513,48932055,15717127,15134651,361754,100001047,30823563,98009460,40735593,161994013,77842159,2118596,21005425,34956464,34922479,62803057,84030155,6638,1340,1246,1293,1413,1236,1450,1013,327,264,25,3965,974,2104,646,4772,2216,61,553,893,1076,1531,2874
20231,A,골목상권,3110003,세검정초등학교,CS100008,분식전문점,36292450,3047,31379637,4912813,8417222,4446901,3946609,6055657,8513248,4912813,0,0,270300,20388644,8648398,6985108,0,17199583,13747338,297567,3350292,3521007,11120217,9439143,3218698,2631,416,663,438,344,533,653,416,0,0,12,1697,663,675,0,1601,1185,36,260,355,949,866,320
20231,A,골목상권,3110003,세검정초등학교,CS100009,호프-간이주점,242864443,2693,198588637,44275806,11533883,13240440,34016948,59896698,79900668,21789167,22486639,89635383,0,1666932,3612962,48156533,99792633,180433392,53973656,1163288,22222791,47390767,44121620,96698998,22809586,1846,847,207,260,381,525,473,447,400,461,0,80,60,764,1328,1487,1049,23,416,513,402,807,378
20231,A,골목상권,3110003,세검정초등학교,CS100010,커피-음료,24570828,2542,13374965,11195863,3846600,1599636,3172258,3732852,1023619,4915471,6280392,0,382239,9385407,10341015,4462167,0,8544512,14853057,375472,5713344,4574453,5136324,6409794,1188182,1545,997,478,159,353,426,129,508,489,0,64,918,1063,497,0,976,1514,62,616,452,495,718,146
20231,A,골목상권,3110004,대신고등학교,CS100001,한식음식점,378624876,7044,243138286,135486590,34424123,24669011,56817942,57868602,69358608,67164757,68321833,0,9802857,115325209,57124177,170958964,25413669,189597158,111101164,0,15396368,38894321,53669824,91277019,101460791,4738,2306,981,519,1045,1051,1142,1139,1167,0,690,2018,1030,3018,288,2957,1945,0,304,729,731,1388,1751
20231,A,골목상권,3110005,세검정,CS100001,한식음식점,270013261,8435,180506280,89506981,12041749,33989539,43145692,41259552,50069748,53416467,36090514,1559181,5527688,95567978,51505678,100812368,15040368,123336509,106847264,631512,18623512,25834235,42953383,58088408,84052723,6466,1969,648,1419,1422,1421,1556,1267,702,26,322,3325,1515,2930,317,4355,3168,86,744,1308,1525,1991,1868
20231,A,골목상권,3110006,부암동주민센터,CS100010,커피-음료,78430495,4507,53055651,25374844,2829177,7513587,7106461,28635129,6971297,11726014,13648830,0,76302,9789573,40860378,20548185,7156057,22539976,52515236,309789,11107667,37764437,8235938,10917592,6719789,2436,2071,137,501,648,545,605,975,1096,0,5,802,1510,1591,599,1791,2585,38,1176,1300,633,780,449
20231,A,골목상권,3110007,사직공원(한국사회과학도서관),CS100001,한식음식점,39000000,661,29743857,9256143,864978,8554444,3504899,5483398,11336138,7646553,1609590,1389065,418680,8575247,764557,9656588,18195863,16145346,11761757,0,5020364,10586952,5277876,4397590,2624322,513,148,65,128,87,90,143,123,25,15,13,277,19,147,190,387,191,0,81,311,66,34,85
20231,A,골목상권,3110008,배화여자대학교(박노수미술관),CS100001,한식음식점,1158613397,31936,794686832,363926565,165748013,119658195,169370000,169353634,170556990,203993127,159933438,11699091,9841550,363038397,151573968,482161297,140299094,549056068,411012683,1606271,86578808,222245702,195725387,236485959,217426613,23305,8631,5479,3371,4824,4741,4890,4539,4092,310,509,14056,5609,9883,1569,14764,14387,161,3932,7254,6362,6831,4607
20231,A,골목상권,3110008,배화여자대학교(박노수미술관),CS100003,일식음식점,126694213,7560,92921862,33772351,1087590,26138874,26022046,19052811,20620541,18761177,15011174,0,0,77852548,20936649,27905016,0,56614021,55276867,1631808,22819194,29255977,30815710,20045425,7322774,5680,1880,76,1606,1430,1122,1446,928,952,0,0,4643,1347,1570,0,3366,3650,146,1792,2034,1582,1090,369
20231,A,골목상권,3110008,배화여자대학교(박노수미술관),CS100004,양식음식점,565163893,10273,350996728,214167165,16710404,62013875,78081279,69290538,124900632,134144390,80022775,44639692,4833765,105248343,78656371,194394783,137390939,247646274,259420372,872606,123403794,213346158,56676381,89867700,22900005,6105,4168,658,1083,1002,1252,2110,2600,1568,666,198,3010,1622,2676,2101,4282,5442,58,3001,4049,1092,1146,378
20231,A,골목상권,3110008,배화여자대학교(박노수미술관),CS100006,패스트푸드점,4631904,747,4258516,373388,574113,1035970,985552,768655,894226,373388,0,0,608360,2395862,1398418,229264,0,1211129,3420775,422336,1231976,349616,406354,1182762,1038860,675,72,105,147,152,142,129,72,0,0,77,431,205,34,0,167,580,89,265,54,59,182,98
