year_code,quarter_code,commercial_district_code,commercial_district_name,total_foot_traffic,age_10_foot_traffic,age_20_foot_traffic,age_30_foot_traffic,age_40_foot_traffic,age_50_foot_traffic,age_over_60_foot_traffic,time_00_to_06_foot_traffic,time_06_to_11_foot_traffic,time_11_to_14_foot_traffic,time_14_to_17_foot_traffic,time_17_to_21_foot_traffic,time_21_to_24_foot_traffic,mon_foot_traffic,tue_foot_traffic,wed_foot_traffic,thu_foot_traffic,fri_foot_traffic,sat_foot_traffic,sun_foot_traffic
2023,3,3111089,상일여고(상일초등학교),889488,130583,87110,132727,163257,152070,223740,220348,192568,111514,102872,149659,112526,132543,129982,130713,128754,128856,118749,119891
2023,3,3111088,고덕동성당,291729,60317,27059,40577,52979,40438,70360,72666,64138,34589,33461,48312,38563,41248,40958,41266,41094,40917,42677,43567
2023,3,3111087,고덕중학교(고덕2동주민센터),188169,41294,17413,24092,31561,27835,45973,60282,42349,19075,17239,23804,25422,27700,27530,27650,27786,27007,25003,25491
2023,3,3111086,한영중고,417454,121196,33044,39672,67663,53085,102795,86365,87894,60565,58757,76386,47486,61248,60923,60760,60494,59848,57215,56966
2023,3,3111085,묘곡초등학교(고덕아이파크아파트),812962,172263,85939,106650,131276,130494,186340,194661,178936,103271,104856,131673,99564,117863,116672,115726,115201,114171,117161,116169
2023,3,3111084,길동신동아아파트,193211,39540,18009,27873,28662,30700,48426,54930,41603,21998,20630,28721,25332,27670,27143,26961,27197,26776,27894,29568
2023,3,3111083,GS강동자이아파트,813934,163037,83538,106793,126388,125566,208612,212542,161375,93000,98326,142925,105767,111748,112055,110594,111605,110200,124893,132841
2023,3,3111082,중앙보훈병원,149464,23413,14750,19733,23032,26157,42379,43965,30257,15456,15859,23145,20784,21152,20808,20771,20823,20418,22314,23179
2023,3,3111080,굽은다리역 3번,610353,96830,69241,77631,97604,92526,176524,152230,121732,71420,72247,109959,82766,82814,84183,85185,83306,84180,89357,101327
2023,3,3111079,둔촌고등학교(둔촌중학교),386887,67024,40026,53072,56871,58488,111406,95591,88342,51950,47033,58982,44988,56971,56605,56273,55780,54749,51705,54806
2023,3,3111078,굽은다리역 4번,3945714,680398,445909,579300,602748,597835,1039526,1225650,822975,405896,387872,564991,538332,567152,558640,553862,555907,552650,566998,590505
