year_code,quarter_code,commercial_district_code,commercial_district_name,monthly_average_income_amount,expenditure_total_amount
2023,1,3110005,세검정,3768541.0,884701599.0
2023,1,3110006,부암동주민센터,3963935.0,267177363.0
2023,1,3110012,성곡미술관,5448355.0,1224738411.0
2023,1,3110014,경복고등학교,5290159.0,246628270.0
2023,1,3110001,이북5도청사,4354652.0,520427635.0
2023,1,3110002,독립문역 1번,3463885.0,232465205.0
2023,1,3110016,평창동동측,4884771.0,1635958594.0
2023,1,3110007,사직공원(한국사회과학도서관),2770422.0,1357989746.0
2023,1,3110017,정독도서관,3978549.0,488287266.0
2023,2,3110616,양목초등학교,2724732.0,429491556.0
2023,1,3110008,배화여자대학교(박노수미술관),3443668.0,2746062777.0
2023,1,3110018,중앙고등학교,3430192.0,1569319603.0
2023,1,3110009,자하문터널,3702978.0,982492942.0
2023,1,3110020,서울국제고등학교,2736810.0,1893277180.0
2023,1,3110021,성균관대학교,2902668.0,1062083531.0
2023,1,3110010,평창동서측,4492856.0,2243586695.0
2023,1,3110022,경신고등학교,3478003.0,879563907.0
2023,1,3110023,서울대병원,3548230.0,430124011.0
2023,1,3110003,세검정초등학교,3474789.0,1349699230.0
2023,1,3110004,대신고등학교,2644953.0,712772785.0
2023,1,3110024,혜회동주민센터,3655720.0,526235130.0
2023,1,3110025,충신시장옆,2770370.0,232818153.0
2023,1,3110027,혜화역 1번,2786575.0,1443674534.0
2023,1,3110028,이화달팽이길,2461097.0,2099016363.0
2023,1,3110029,동대문역 1번,2098071.0,2352986552.0
2023,1,3110030,동대문역 3번,2376672.0,202754119.0
2023,1,3110031,창신역 1번,2216896.0,173868489.0
2023,1,3110033,창신역 4번,2207936.0,771111000.0
2023,1,3110035,동묘앞역 2번,2251484.0,1867544638.0
2023,1,3110036,동묘앞역 3번,2674433.0,173906013.0
2023,1,3110037,신설동역 12번,2191167.0,969598430.0
2023,1,3110039,회현역 1번,1988593.0,57559772.0
2023,1,3110040,중구회현체육센터(정화예술대남산캠퍼스),2645687.0,1230137661.0
2023,1,3110041,남산케이블카,2435163.0,597007525.0
2023,1,3110042,남산골공원옆,3232386.0,1228216215.0
2023,1,3110043,충무초등학교,2824585.0,1564568535.0
2023,1,3110045,동대문역사문화공원역 5번,2461667.0,354161658.0
2023,1,3110047,다산성곽길,2759072.0,1195911920.0
2023,1,3110048,장충동주민센터,2981152.0,1413011253.0
2023,1,3110049,장충단 고개,2908231.0,1079848128.0
2023,1,3110050,약수역 7번,2710670.0,793450199.0
2023,1,3110051,한양공고앞 교차로,2461144.0,667566496.0
2023,1,3110052,장충초등학교,2404238.0,797341566.0
2023,1,3110053,청구역 1번,2240230.0,975466676.0
2023,1,3110054,청구역 3번,3171413.0,2007417767.0
2023,1,3110055,황학동벼룩시장,2774287.0,183778794.0
2023,1,3110056,신당역 3번,2376257.0,2345870071.0
2023,1,3110057,황학코아루아파트,3108300.0,995897832.0
2023,1,3110058,성심여자고등학교,2911566.0,2194575007.0
2023,1,3110059,새남터성지,3266131.0,1460700558.0
2023,1,3110060,효창공원앞역 6번,2822548.0,1779795689.0
2023,1,3110061,효창동주민센터,2979262.0,2000862980.0
2023,1,3110062,한강로동땡땡거리(은행나무길),2774795.0,776318976.0
2023,1,3110063,효창공원앞역 5번,3009124.0,1162886145.0
2023,1,3110064,효창공원앞역 2번,3243655.0,1617004489.0
2023,1,3110065,남정초등학교,2695366.0,115479057.0
2023,1,3110066,서울역 15번,2448662.0,1451433018.0
2023,1,3110067,배문고등학교,2637062.0,4042325194.0
2023,1,3110068,남영역 1번,3433048.0,1394945162.0
2023,1,3110069,숙대입구,2684434.0,2091408330.0
2023,1,3110070,용산세무서,3782576.0,126079583.0
2023,1,3110071,한강미주맨션아파트,5482498.0,160286532.0
2023,1,3110073,삼각지역 3번,3647990.0,171521415.0
2023,1,3110074,서울역 12번,2756400.0,1534781017.0
2023,1,3110075,숙대입구역 1번,2703737.0,1617334839.0
2023,1,3110077,삼광초등학교,2851272.0,701686243.0
2023,1,3110078,이촌동점보아파트,6369714.0,280907628.0
2023,1,3110079,후암동주민센터,3120023.0,5816513606.0
2023,1,3110080,해방촌예술마을,2584702.0,1988754967.0
2023,1,3110081,해방촌 남동측,2556761.0,1722026054.0
2023,1,3110082,용산구청,2938264.0,793578005.0
2023,1,3110083,서빙고역 1번,2562932.0,458293529.0
2023,1,3110084,경리단길북측,2766235.0,1886525027.0
2023,1,3110085,경리단길남측,2990558.0,2188939195.0
2023,1,3110087,이태원엔틱가구거리,2513895.0,738082090.0
2023,1,3110088,오산고등학교,2872106.0,1192315963.0
2023,1,3110089,서빙고동주민센터,2677303.0,1615979283.0
2023,1,3110090,한국폴리텍대학서울정수캠퍼스,3058691.0,1346925170.0
2023,1,3110092,NH농협은행 보광동지점,2468307.0,1781029608.0
2023,1,3110093,우사단길,2777443.0,3403698511.0
2023,1,3110095,한강진역 3번,4339790.0,1514634303.0
2023,1,3110096,한남힐사이드아파트,3453789.0,694524729.0
2023,1,3110098,서울독일학교,3218904.0,237450148.0
2023,1,3110099,유엔빌리지길,5729183.0,1353322823.0
2023,1,3110102,옥수역 6번,2847836.0,252903110.0
2023,1,3110103,옥수터널,2213151.0,194443882.0
2023,1,3110104,신금호역 4번,2666215.0,1928005256.0
2023,1,3110105,금동어린이공원,2365874.0,1619463514.0
2023,1,3110107,금호사거리,2369658.0,216936515.0
2023,1,3110109,금호삼성래미안아파트,2494346.0,209484211.0
2023,1,3110110,상왕십리역 6번,2722217.0,1025524033.0
2023,1,3110112,행당역 2번,2622180.0,1692234915.0
2023,1,3110113,응봉산,2938811.0,789172732.0
2023,1,3110114,왕십리파출소,3041500.0,319484780.0
2023,1,3110115,상왕십리역 3번,2609932.0,909916791.0
2023,1,3110116,청계천박물관,2334335.0,1029149453.0
2023,1,3110117,성동구보건소,2205692.0,524998968.0
2023,1,3110118,왕십리역 9번,4163150.0,515886079.0
2023,1,3110120,서울숲카페거리,3108465.0,565691515.0
2023,1,3110121,한양대역 4번,2656203.0,451382057.0
2023,1,3110123,마장역 3번,2497084.0,1068633264.0
2023,1,3110124,뚝섬역교차로,2380327.0,426644891.0
2023,1,3110125,사근동살곶이상점가,2481227.0,2207499924.0
2023,1,3110126,서울숲역 1번,2683911.0,397341358.0
2023,1,3110127,성수1가1동주민센터,3016480.0,153848864.0
2023,1,3110128,성원중학교,2435523.0,4070992102.0
2023,1,3110129,성원어린이공원,3039148.0,536029154.0
2023,1,3110130,답십리역 6번,2237845.0,821791392.0
2023,1,3110131,성수동카페거리,2619989.0,1602323628.0
2023,1,3110132,성수2가3동주민센터,2818946.0,952107247.0
2023,1,3110133,서울교통공사,2556713.0,522124617.0
2023,1,3110134,성수119안전센터,2610406.0,2936426722.0
2023,1,3110135,성동세무서,2567089.0,453428765.0
2023,1,3110136,경수초등학교,2669023.0,1330547106.0
2023,1,3110137,성수초등학교,3333473.0,1510657423.0
2023,1,3110138,송정체육공원,2292404.0,1285313918.0
2023,1,3110139,자양4동주민센터,2460503.0,1598822707.0
2023,1,3110140,건대입구역 6번,2369396.0,3143153809.0
2023,1,3110141,건대입구역 1번,2282949.0,956074750.0
2023,1,3110142,화양사거리,2456645.0,2113204735.0
2023,1,3110144,어린이대공원역 4번,2488181.0,867862648.0
2023,1,3110146,신자초등학교,2667017.0,1506488855.0
2023,1,3110147,능동우편취급국,2463450.0,3195168079.0
2023,1,3110148,어린이대공원역 3번,2418795.0,657325391.0
