year_code,quarter_code,commercial_district_code,commercial_district_name,apartment_complexes,household_under_20_pyeong,household_20_to_30_pyeong,household_30_to_40_pyeong,household_40_to_50_pyeong,household_over_50_pyeong,household_less_than_100_million_price,household_100_million_to_200_million_price,household_200_million_to_300_million_price,household_300_million_to_400_million_price,household_400_million_to_500_million_price,household_500_million_to_600_million_price,household_over_than_600_million_price,apartment_avg_area,apartment_avg_price
2023,3,3110009,자하문터널,45,124.0,139.0,21.0,10.0,9.0,13.0,118.0,120.0,38.0,8.0,6.0,0.0,79,225732091
2023,3,3110020,서울국제고등학교,102,550.0,91.0,16.0,4.0,2.0,235.0,288.0,122.0,10.0,6.0,0.0,2.0,54,140643747
2023,1,3110001,이북5도청사,18,20.0,126.0,12.0,13.0,46.0,11.0,4.0,23.0,74.0,40.0,25.0,40.0,115,435370606
2023,2,3110001,이북5도청사,18,20.0,126.0,12.0,13.0,46.0,11.0,4.0,23.0,74.0,40.0,25.0,40.0,115,435370606
2023,3,3110001,이북5도청사,18,20.0,126.0,12.0,13.0,46.0,11.0,4.0,23.0,74.0,40.0,25.0,40.0,115,435370606
2023,1,3110002,독립문역 1번,4,16.0,18.0,0.0,0.0,0.0,4.0,11.0,7.0,0.0,0.0,0.0,12.0,65,325442708
2023,2,3110002,독립문역 1번,4,16.0,18.0,0.0,0.0,0.0,4.0,11.0,7.0,0.0,0.0,0.0,12.0,65,325442708
2023,3,3110002,독립문역 1번,4,16.0,18.0,0.0,0.0,0.0,4.0,11.0,7.0,0.0,0.0,0.0,12.0,65,325442708
2023,1,3110003,세검정초등학교,69,297.0,229.0,38.0,51.0,16.0,35.0,252.0,178.0,51.0,12.0,82.0,21.0,78,269170620
2023,2,3110003,세검정초등학교,69,297.0,229.0,38.0,51.0,16.0,35.0,252.0,178.0,51.0,12.0,82.0,21.0,78,269170620
2023,3,3110003,세검정초등학교,69,297.0,229.0,38.0,51.0,16.0,35.0,252.0,178.0,51.0,12.0,82.0,21.0,78,269170620
2023,1,3110004,대신고등학교,5,12.0,11.0,0.0,0.0,0.0,6.0,6.0,11.0,0.0,0.0,0.0,0.0,53,140680000
2023,2,3110004,대신고등학교,5,12.0,11.0,0.0,0.0,0.0,6.0,6.0,11.0,0.0,0.0,0.0,0.0,53,140680000
2023,3,3110004,대신고등학교,5,12.0,11.0,0.0,0.0,0.0,6.0,6.0,11.0,0.0,0.0,0.0,0.0,53,140680000
2023,1,3110035,동묘앞역 2번,89,571.0,85.0,1.0,0.0,0.0,148.0,373.0,126.0,9.0,1.0,0.0,0.0,49,145629605
2023,2,3110035,동묘앞역 2번,89,571.0,85.0,1.0,0.0,0.0,148.0,373.0,126.0,9.0,1.0,0.0,0.0,49,145629605
2023,3,3110035,동묘앞역 2번,89,571.0,85.0,1.0,0.0,0.0,148.0,373.0,126.0,9.0,1.0,0.0,0.0,49,145629605
2023,1,3110012,성곡미술관,16,39.0,42.0,16.0,26.0,3.0,1.0,9.0,19.0,23.0,20.0,2.0,52.0,87,538009186
2023,2,3110012,성곡미술관,16,39.0,42.0,16.0,26.0,3.0,1.0,9.0,19.0,23.0,20.0,2.0,52.0,87,538009186
2023,3,3110012,성곡미술관,16,39.0,42.0,16.0,26.0,3.0,1.0,9.0,19.0,23.0,20.0,2.0,52.0,87,538009186
2023,1,3110014,경복고등학교,12,10.0,47.0,7.0,3.0,6.0,1.0,1.0,24.0,32.0,5.0,2.0,8.0,91,351638624
2023,2,3110014,경복고등학교,12,10.0,47.0,7.0,3.0,6.0,1.0,1.0,24.0,32.0,5.0,2.0,8.0,91,351638624
2023,3,3110014,경복고등학교,12,10.0,47.0,7.0,3.0,6.0,1.0,1.0,24.0,32.0,5.0,2.0,8.0,91,351638624
2023,1,3110016,평창동동측,22,23.0,52.0,10.0,27.0,21.0,6.0,19.0,28.0,28.0,11.0,7.0,34.0,113,400472043
2023,2,3110016,평창동동측,22,23.0,52.0,10.0,27.0,21.0,6.0,19.0,28.0,28.0,11.0,7.0,34.0,113,400472043
2023,3,3110016,평창동동측,22,23.0,52.0,10.0,27.0,21.0,6.0,19.0,28.0,28.0,11.0,7.0,34.0,113,400472043
2023,1,3110005,세검정,41,118.0,205.0,50.0,16.0,58.0,43.0,85.0,145.0,95.0,7.0,11.0,61.0,91,303902089
2023,2,3110005,세검정,41,118.0,205.0,50.0,16.0,58.0,43.0,85.0,145.0,95.0,7.0,11.0,61.0,91,303902089
2023,3,3110005,세검정,41,118.0,205.0,50.0,16.0,58.0,43.0,85.0,145.0,95.0,7.0,11.0,61.0,91,303902089
2023,1,3110006,부암동주민센터,2,0.0,15.0,4.0,0.0,1.0,0.0,0.0,11.0,8.0,0.0,0.0,1.0,93,318712121
2023,2,3110006,부암동주민센터,2,0.0,15.0,4.0,0.0,1.0,0.0,0.0,11.0,8.0,0.0,0.0,1.0,93,318712121
2023,3,3110006,부암동주민센터,2,0.0,15.0,4.0,0.0,1.0,0.0,0.0,11.0,8.0,0.0,0.0,1.0,93,318712121
2023,1,3110007,사직공원(한국사회과학도서관),100,573.0,38.0,1.0,0.0,0.0,118.0,446.0,48.0,0.0,0.0,0.0,0.0,51,141005073
