year_code,quarter_code,commercial_district_code,commercial_change_now,rdi_now,store_density_now,commercial_change_previous,rdi_previous,store_density_previous,rdi_diff,store_density_diff,commercial_change_diff
2022,3,3110320,1,2.6930285525378803,0.0009072523484605,1,2.4972682700057134,0.0009072523484605,0.19576028253216693,0.0,0
2022,1,3110016,1,2.041492623423369,0.0002180491107804,1,1.7410075408138683,0.0001970092843016,0.30048508260950046,2.103982647879999e-05,0
2022,1,3110008,2,2.975596928007752,0.0016346875334976,2,2.41414320429285,0.0014337013613463,0.561453723714902,0.00020098617215129995,0
2022,1,3110022,1,2.8771990648355894,0.001645010135921,1,3.687356476255345,0.0015453125519258,-0.8101574114197554,9.969758399520001e-05,0
2022,1,3110033,1,3.249100695790519,0.0013869447405257,1,2.9847221354984743,0.0012842080930794,0.26437856029204454,0.00010273664744629989,0
2022,1,3110017,2,1.8224925792267908,0.0006201180609385,2,1.7700074385725957,0.0005843420189613,0.05248514065419507,3.5776041977199986e-05,0
2022,1,3110527,3,3.2022278355211395,0.0010841590225599,1,3.593151459550991,0.0010275942039915,-0.39092362402985126,5.656481856839996e-05,2
2022,1,3110480,1,3.1308806412180936,0.0012081019946535,1,2.941305533540326,0.0011566933991363,0.18957510767776764,5.140859551719997e-05,0
2022,1,3110191,0,1.836324740987272,0.0017303878847586,0,1.915438188404298,0.0016798656107511,-0.07911344741702586,5.052227400749996e-05,0
2022,1,3110150,0,3.7393533118016338,0.0015672998558084,1,3.791097560367625,0.0014419158673437,-0.051744248565991136,0.00012538398846470003,-1
2022,1,3110187,2,3.496548330979773,0.0023565298379182,2,3.533343508838823,0.0020502434664116,-0.036795177859049844,0.0003062863715066,0
2022,1,3110259,2,2.31468531216022,0.0023986650907321,2,2.508434257796775,0.0024566038610396,-0.19374894563655465,-5.793877030750008e-05,0
2022,1,3110590,0,5.074427991134187,0.00207698234565,1,5.151021326072013,0.0018759840541355,-0.07659333493782583,0.00020099829151450023,-1
2022,1,3110102,2,2.936217275172147,0.0042096764892451,2,2.85975761388847,0.0040366760855775,0.07645966128367698,0.00017300040366759976,0
2022,1,3110490,3,2.3229537321433744,0.0008500019495457,2,2.729208227282108,0.0008188092174523,-0.4062544951387337,3.119273209339999e-05,1
2022,1,3110083,3,2.3118691578040678,0.0013810270749505,3,2.520040390414989,0.0012446293391529,-0.2081712326109213,0.00013639773579760006,0
2022,1,3110579,3,4.795878352065353,0.0013079969480071,3,3.622530950753306,0.0011989972023398,1.1733474013120468,0.00010899974566730007,0
