year_code,quarter_code,commercial_district_code,monthly_average_income_amount_now,expenditure_total_amount_now,monthly_average_income_amount_previous,expenditure_total_amount_previous,income_diff,expend_diff
2022,1,3110001,4354652.0,520427635.0,4354652.0,520427635.0,0.0,0.0
2022,1,3110002,3463885.0,232465205.0,3463885.0,232465205.0,0.0,0.0
2022,1,3110003,3474789.0,1349699230.0,3474789.0,1349699230.0,0.0,0.0
2022,1,3110004,2644953.0,712772785.0,2644953.0,712772785.0,0.0,0.0
2022,1,3110005,3768541.0,884701599.0,3768541.0,884701599.0,0.0,0.0
2022,1,3110006,3963935.0,267177363.0,3963935.0,267177363.0,0.0,0.0
2022,1,3110007,2770422.0,1357989746.0,2770422.0,1357989746.0,0.0,0.0
2022,1,3110008,3443668.0,2746062777.0,3443668.0,2746062777.0,0.0,0.0
2022,1,3110009,3702978.0,982492942.0,3702978.0,982492942.0,0.0,0.0
2022,1,3110010,4492856.0,2243586695.0,4492856.0,2243586695.0,0.0,0.0
2022,1,3110012,5448355.0,1224738411.0,5448355.0,1224738411.0,0.0,0.0
2022,1,3110014,5290159.0,246628270.0,5290159.0,246628270.0,0.0,0.0
2022,1,3110016,4884771.0,1635958594.0,4884771.0,1635958594.0,0.0,0.0
2022,1,3110017,3978549.0,488287266.0,3978549.0,488287266.0,0.0,0.0
2022,1,3110018,3430192.0,1569319603.0,3430192.0,1569319603.0,0.0,0.0
2022,1,3110020,2736810.0,1893277180.0,2736810.0,1893277180.0,0.0,0.0
2022,1,3110021,2902668.0,1062083531.0,2902668.0,1062083531.0,0.0,0.0
2022,1,3110022,3478003.0,879563907.0,3478003.0,879563907.0,0.0,0.0
2022,1,3110023,3548230.0,430124011.0,3548230.0,430124011.0,0.0,0.0
2022,1,3110024,3655720.0,526235130.0,3655720.0,526235130.0,0.0,0.0
2022,1,3110025,2770370.0,232818153.0,2770370.0,232818153.0,0.0,0.0
2022,1,3110027,2786575.0,1443674534.0,2786575.0,1443674534.0,0.0,0.0
2022,1,3110028,2461097.0,2099016363.0,2461097.0,2099016363.0,0.0,0.0
2022,1,3110029,2098071.0,2352986552.0,2098071.0,2352986552.0,0.0,0.0
2022,1,3110030,2376672.0,202754119.0,2376672.0,202754119.0,0.0,0.0
2022,1,3110031,2216896.0,173868489.0,2216896.0,173868489.0,0.0,0.0
2022,1,3110033,2207936.0,771111000.0,2207936.0,771111000.0,0.0,0.0
2022,1,3110035,2251484.0,1867544638.0,2251484.0,1867544638.0,0.0,0.0
2022,1,3110036,2674433.0,173906013.0,2674433.0,173906013.0,0.0,0.0
2022,1,3110037,2191167.0,969598430.0,2191167.0,969598430.0,0.0,0.0
2022,1,3110039,1988593.0,57559772.0,1988593.0,57559772.0,0.0,0.0
2022,1,3110040,2645687.0,1230137661.0,2645687.0,1230137661.0,0.0,0.0
2022,1,3110041,2435163.0,597007525.0,2435163.0,597007525.0,0.0,0.0
2022,1,3110042,3232386.0,1228216215.0,3232386.0,1228216215.0,0.0,0.0
2022,1,3110043,2824585.0,1564568535.0,2824585.0,1564568535.0,0.0,0.0
2022,1,3110045,2461667.0,354161658.0,2461667.0,354161658.0,0.0,0.0
2022,1,3110047,2759072.0,1195911920.0,2759072.0,1195911920.0,0.0,0.0
2022,1,3110048,2981152.0,1413011253.0,2981152.0,1413011253.0,0.0,0.0
2022,1,3110049,2908231.0,1079848128.0,2908231.0,1079848128.0,0.0,0.0
2022,1,3110050,2710670.0,793450199.0,2710670.0,793450199.0,0.0,0.0
2022,1,3110051,2461144.0,667566496.0,2461144.0,667566496.0,0.0,0.0
2022,1,3110052,2404238.0,797341566.0,2404238.0,797341566.0,0.0,0.0
2022,1,3110053,2240230.0,975466676.0,2240230.0,975466676.0,0.0,0.0
2022,1,3110054,3171413.0,2007417767.0,3171413.0,2007417767.0,0.0,0.0
2022,1,3110055,2774287.0,183778794.0,2774287.0,183778794.0,0.0,0.0
2022,1,3110056,2376257.0,2345870071.0,2376257.0,2345870071.0,0.0,0.0
2022,1,3110057,3108300.0,995897832.0,3108300.0,995897832.0,0.0,0.0
2022,1,3110058,2911566.0,2194575007.0,2911566.0,2194575007.0,0.0,0.0
2022,1,3110059,3266131.0,1460700558.0,3266131.0,1460700558.0,0.0,0.0
2022,1,3110060,2822548.0,1779795689.0,2822548.0,1779795689.0,0.0,0.0
2022,1,3110061,2979262.0,2000862980.0,2979262.0,2000862980.0,0.0,0.0
2022,1,3110062,2774795.0,776318976.0,2774795.0,776318976.0,0.0,0.0
2022,1,3110063,3009124.0,1162886145.0,3009124.0,1162886145.0,0.0,0.0
2022,1,3110064,3243655.0,1617004489.0,3243655.0,1617004489.0,0.0,0.0
2022,1,3110065,2695366.0,115479057.0,2695366.0,115479057.0,0.0,0.0
2022,1,3110066,2448662.0,1451433018.0,2448662.0,1451433018.0,0.0,0.0
2022,1,3110067,2637062.0,4042325194.0,2637062.0,4042325194.0,0.0,0.0
2022,1,3110068,3433048.0,1394945162.0,3433048.0,1394945162.0,0.0,0.0
2022,1,3110069,2684434.0,2091408330.0,2684434.0,2091408330.0,0.0,0.0
2022,1,3110070,3782576.0,126079583.0,3782576.0,126079583.0,0.0,0.0
2022,1,3110071,5482498.0,160286532.0,5482498.0,160286532.0,0.0,0.0
2022,1,3110073,3647990.0,171521415.0,3647990.0,171521415.0,0.0,0.0
2022,1,3110074,2756400.0,1534781017.0,2756400.0,1534781017.0,0.0,0.0
2022,1,3110075,2703737.0,1617334839.0,2703737.0,1617334839.0,0.0,0.0
2022,1,3110077,2851272.0,701686243.0,2851272.0,701686243.0,0.0,0.0
2022,1,3110078,6369714.0,280907628.0,6369714.0,280907628.0,0.0,0.0
2022,1,3110079,3120023.0,5816513606.0,3120023.0,5816513606.0,0.0,0.0
2022,1,3110080,2584702.0,1988754967.0,2584702.0,1988754967.0,0.0,0.0
2022,1,3110081,2556761.0,1722026054.0,2556761.0,1722026054.0,0.0,0.0
2022,1,3110082,2938264.0,793578005.0,2938264.0,793578005.0,0.0,0.0
2022,1,3110083,2562932.0,458293529.0,2562932.0,458293529.0,0.0,0.0
2022,1,3110084,2766235.0,1886525027.0,2766235.0,1886525027.0,0.0,0.0
2022,1,3110085,2990558.0,2188939195.0,2990558.0,2188939195.0,0.0,0.0
2022,1,3110087,2513895.0,738082090.0,2513895.0,738082090.0,0.0,0.0
2022,1,3110088,2872106.0,1192315963.0,2872106.0,1192315963.0,0.0,0.0
2022,1,3110089,2677303.0,1615979283.0,2677303.0,1615979283.0,0.0,0.0
2022,1,3110090,3058691.0,1346925170.0,3058691.0,1346925170.0,0.0,0.0
2022,1,3110092,2468307.0,1781029608.0,2468307.0,1781029608.0,0.0,0.0
2022,1,3110093,2777443.0,3403698511.0,2777443.0,3403698511.0,0.0,0.0
2022,1,3110095,4339790.0,1514634303.0,4339790.0,1514634303.0,0.0,0.0
2022,1,3110096,3453789.0,694524729.0,3453789.0,694524729.0,0.0,0.0
2022,1,3110098,3218904.0,237450148.0,3218904.0,237450148.0,0.0,0.0
2022,1,3110099,5729183.0,1353322823.0,5729183.0,1353322823.0,0.0,0.0
2022,1,3110102,2847836.0,252903110.0,2847836.0,252903110.0,0.0,0.0
2022,1,3110103,2213151.0,194443882.0,2213151.0,194443882.0,0.0,0.0
2022,1,3110104,2666215.0,1928005256.0,2666215.0,1928005256.0,0.0,0.0
2022,1,3110105,2365874.0,1619463514.0,2365874.0,1619463514.0,0.0,0.0
2022,1,3110107,2369658.0,216936515.0,2369658.0,216936515.0,0.0,0.0
2022,1,3110109,2494346.0,209484211.0,2494346.0,209484211.0,0.0,0.0
2022,1,3110110,2722217.0,1025524033.0,2722217.0,1025524033.0,0.0,0.0
2022,1,3110112,2622180.0,1692234915.0,2622180.0,1692234915.0,0.0,0.0
2022,1,3110113,2938811.0,789172732.0,2938811.0,789172732.0,0.0,0.0
2022,1,3110114,3041500.0,319484780.0,3041500.0,319484780.0,0.0,0.0
2022,1,3110115,2609932.0,909916791.0,2609932.0,909916791.0,0.0,0.0
2022,1,3110116,2334335.0,1029149453.0,2334335.0,1029149453.0,0.0,0.0
2022,1,3110117,2205692.0,524998968.0,2205692.0,524998968.0,0.0,0.0
2022,1,3110118,4163150.0,515886079.0,4163150.0,515886079.0,0.0,0.0
2022,1,3110120,3108465.0,565691515.0,3108465.0,565691515.0,0.0,0.0
2022,1,3110121,2656203.0,451382057.0,2656203.0,451382057.0,0.0,0.0
2022,1,3110122,2648703.0,569859649.0,2648703.0,569859649.0,0.0,0.0
2022,1,3110123,2497084.0,1068633264.0,2497084.0,1068633264.0,0.0,0.0
2022,1,3110124,2380327.0,426644891.0,2380327.0,426644891.0,0.0,0.0
2022,1,3110125,2481227.0,2207499924.0,2481227.0,2207499924.0,0.0,0.0
2022,1,3110126,2683911.0,397341358.0,2683911.0,397341358.0,0.0,0.0
2022,1,3110127,3016480.0,153848864.0,3016480.0,153848864.0,0.0,0.0
2022,1,3110128,2435523.0,4070992102.0,2435523.0,4070992102.0,0.0,0.0
2022,1,3110129,3039148.0,536029154.0,3039148.0,536029154.0,0.0,0.0
2022,1,3110130,2237845.0,821791392.0,2237845.0,821791392.0,0.0,0.0
2022,1,3110131,2619989.0,1602323628.0,2619989.0,1602323628.0,0.0,0.0
2022,1,3110132,2818946.0,952107247.0,2818946.0,952107247.0,0.0,0.0
2022,1,3110133,2556713.0,522124617.0,2556713.0,522124617.0,0.0,0.0
2022,1,3110134,2610406.0,2936426722.0,2610406.0,2936426722.0,0.0,0.0
2022,1,3110135,2567089.0,453428765.0,2567089.0,453428765.0,0.0,0.0
2022,1,3110136,2669023.0,1330547106.0,2669023.0,1330547106.0,0.0,0.0
2022,1,3110137,3333473.0,1510657423.0,3333473.0,1510657423.0,0.0,0.0
2022,1,3110138,2292404.0,1285313918.0,2292404.0,1285313918.0,0.0,0.0
2022,1,3110139,2460503.0,1598822707.0,2460503.0,1598822707.0,0.0,0.0
2022,1,3110140,2369396.0,3143153809.0,2369396.0,3143153809.0,0.0,0.0
2022,1,3110141,2282949.0,956074750.0,2282949.0,956074750.0,0.0,0.0
2022,1,3110142,2456645.0,2113204735.0,2456645.0,2113204735.0,0.0,0.0
2022,1,3110144,2488181.0,867862648.0,2488181.0,867862648.0,0.0,0.0
2022,1,3110146,2667017.0,1506488855.0,2667017.0,1506488855.0,0.0,0.0
2022,1,3110147,2463450.0,3195168079.0,2463450.0,3195168079.0,0.0,0.0
2022,1,3110148,2418795.0,657325391.0,2418795.0,657325391.0,0.0,0.0
2022,1,3110149,2772298.0,594089068.0,2772298.0,594089068.0,0.0,0.0
2022,1,3110150,2480827.0,2331626455.0,2480827.0,2331626455.0,0.0,0.0
2022,1,3110151,2491117.0,2108821996.0,2491117.0,2108821996.0,0.0,0.0
2022,1,3110152,2376956.0,731359996.0,2376956.0,731359996.0,0.0,0.0
2022,1,3110153,2616029.0,1118735342.0,2616029.0,1118735342.0,0.0,0.0
2022,1,3110154,2491844.0,2185328256.0,2491844.0,2185328256.0,0.0,0.0
2022,1,3110155,2754211.0,1783791264.0,2754211.0,1783791264.0,0.0,0.0
2022,1,3110156,2845498.0,2858750912.0,2845498.0,2858750912.0,0.0,0.0
2022,1,3110157,2628698.0,2938866512.0,2628698.0,2938866512.0,0.0,0.0
2022,1,3110158,2363691.0,2796479673.0,2363691.0,2796479673.0,0.0,0.0
2022,1,3110159,2549359.0,4163589289.0,2549359.0,4163589289.0,0.0,0.0
2022,1,3110160,2586461.0,763674113.0,2586461.0,763674113.0,0.0,0.0
2022,1,3110161,2356839.0,2220720664.0,2356839.0,2220720664.0,0.0,0.0
2022,1,3110162,2769966.0,1745042930.0,2769966.0,1745042930.0,0.0,0.0
2022,1,3110163,2717384.0,1416070069.0,2717384.0,1416070069.0,0.0,0.0
2022,1,3110164,2952316.0,1624780317.0,2952316.0,1624780317.0,0.0,0.0
2022,1,3110165,2515626.0,2118468606.0,2515626.0,2118468606.0,0.0,0.0
2022,1,3110166,2694438.0,2785503416.0,2694438.0,2785503416.0,0.0,0.0
2022,1,3110167,2524917.0,3247635962.0,2524917.0,3247635962.0,0.0,0.0
2022,1,3110168,2678712.0,1473853037.0,2678712.0,1473853037.0,0.0,0.0
2022,1,3110169,2922750.0,1137499144.0,2922750.0,1137499144.0,0.0,0.0
2022,1,3110170,2548061.0,2972668657.0,2548061.0,2972668657.0,0.0,0.0
2022,1,3110171,2387003.0,1110794278.0,2387003.0,1110794278.0,0.0,0.0
2022,1,3110172,2723879.0,1941841534.0,2723879.0,1941841534.0,0.0,0.0
2022,1,3110173,2880147.0,681804638.0,2880147.0,681804638.0,0.0,0.0
2022,1,3110174,2557225.0,2405017585.0,2557225.0,2405017585.0,0.0,0.0
2022,1,3110175,2699984.0,2961500469.0,2699984.0,2961500469.0,0.0,0.0
2022,1,3110176,2380483.0,2599200823.0,2380483.0,2599200823.0,0.0,0.0
2022,1,3110177,2513600.0,915483682.0,2513600.0,915483682.0,0.0,0.0
2022,1,3110178,3127430.0,673639856.0,3127430.0,673639856.0,0.0,0.0
2022,1,3110179,3221582.0,541151682.0,3221582.0,541151682.0,0.0,0.0
2022,1,3110180,3838199.0,1133162572.0,3838199.0,1133162572.0,0.0,0.0
2022,1,3110181,2955207.0,764263688.0,2955207.0,764263688.0,0.0,0.0
2022,1,3110182,2933388.0,553020948.0,2933388.0,553020948.0,0.0,0.0
2022,1,3110183,2340603.0,258452133.0,2340603.0,258452133.0,0.0,0.0
2022,1,3110184,2249832.0,293390454.0,2249832.0,293390454.0,0.0,0.0
2022,1,3110185,2387871.0,299199134.0,2387871.0,299199134.0,0.0,0.0
2022,1,3110186,2640696.0,187169059.0,2640696.0,187169059.0,0.0,0.0
2022,1,3110187,2668899.0,2359352532.0,2668899.0,2359352532.0,0.0,0.0
2022,1,3110188,2865719.0,2004731053.0,2865719.0,2004731053.0,0.0,0.0
2022,1,3110189,2813260.0,1271809951.0,2813260.0,1271809951.0,0.0,0.0
2022,1,3110190,2677268.0,1219156729.0,2677268.0,1219156729.0,0.0,0.0
2022,1,3110191,2287115.0,676581689.0,2287115.0,676581689.0,0.0,0.0
2022,1,3110193,2387752.0,864173287.0,2387752.0,864173287.0,0.0,0.0
2022,1,3110194,2390013.0,784169432.0,2390013.0,784169432.0,0.0,0.0
2022,1,3110195,2427681.0,1966921709.0,2427681.0,1966921709.0,0.0,0.0
2022,1,3110197,2650093.0,273845661.0,2650093.0,273845661.0,0.0,0.0
