year_code,quarter_code,commercial_district_code,total_working_population_now,total_working_population_previous,working_population_diff
2022,1,3110018,829,829,0
2022,1,3110006,27,27,0
2022,1,3110012,1042,1042,0
2022,1,3110052,484,484,0
2022,1,3110092,468,468,0
2022,1,3110083,149,149,0
2022,1,3110060,287,287,0
2022,1,3110068,1090,1090,0
2022,1,3110061,478,478,0
2022,1,3110122,461,461,0
2022,1,3110125,135,135,0
2022,1,3110178,165,165,0
2022,1,3110147,815,815,0
2022,1,3110154,255,255,0
2022,1,3110151,249,249,0
2022,1,3110162,618,618,0
2022,1,3110171,59,59,0
2022,1,3110217,506,506,0
2022,1,3110225,330,330,0
2022,1,3110218,158,158,0
2022,1,3110188,807,807,0
2022,1,3110184,398,398,0
2022,1,3110213,124,124,0
2022,1,3110220,193,193,0
2022,1,3110230,161,161,0
2022,1,3110216,208,208,0
2022,1,3110275,63,63,0
2022,1,3110276,29,29,0
2022,1,3110240,97,97,0
2022,1,3110299,372,372,0
2022,1,3110302,3797,3797,0
2022,1,3110333,988,988,0
2022,1,3110295,679,679,0
2022,1,3110290,96,96,0
2022,1,3110284,562,562,0
2022,1,3110315,124,124,0
2022,1,3110355,306,306,0
2022,1,3110372,188,188,0
2022,1,3110405,1123,1123,0
2022,1,3110407,560,560,0
2022,1,3110412,25,25,0
2022,1,3110394,214,214,0
2022,1,3110388,35,35,0
2022,1,3110442,76,76,0
2022,1,3110424,388,388,0
2022,1,3110437,116,116,0
2022,1,3110439,96,96,0
2022,1,3110440,49,49,0
2022,1,3110420,796,796,0
2022,1,3110431,124,124,0
2022,1,3110467,487,487,0
2022,1,3110454,481,481,0
2022,1,3110447,48,48,0
2022,1,3110453,515,515,0
2022,1,3110448,120,120,0
2022,1,3110466,87,87,0
2022,1,3110498,222,222,0
2022,1,3110444,157,157,0
2022,1,3110496,611,611,0
2022,1,3110506,110,110,0
2022,1,3110505,14,14,0
2022,1,3110510,100,100,0
2022,1,3110521,63,63,0
2022,1,3110529,125,125,0
2022,1,3110589,46,46,0
2022,1,3110542,3997,3997,0
2022,1,3110561,395,395,0
2022,1,3110552,637,637,0
2022,1,3110553,281,281,0
2022,1,3110570,61,61,0
2022,1,3110624,379,379,0
2022,1,3110626,652,652,0
2022,1,3110620,458,458,0
2022,1,3110606,544,544,0
2022,1,3110613,80,80,0
2022,1,3110657,3180,3180,0
2022,1,3110671,4521,4521,0
2022,1,3110668,471,471,0
2022,1,3110646,754,754,0
2022,1,3110658,253,253,0
2022,1,3110721,215,215,0
2022,1,3110703,307,307,0
2022,1,3110706,410,410,0
2022,1,3110701,567,567,0
2022,1,3110709,185,185,0
2022,1,3110716,666,666,0
2022,1,3110693,17,17,0
2022,1,3110741,444,444,0
2022,1,3110789,491,491,0
2022,1,3110769,42,42,0
2022,1,3110772,94,94,0
2022,1,3110785,161,161,0
2022,1,3110758,296,296,0
2022,1,3110815,2250,2250,0
2022,1,3110787,171,171,0
2022,1,3110780,223,223,0
2022,1,3110804,312,312,0
2022,1,3110832,491,491,0
2022,1,3110822,313,313,0
2022,1,3110850,969,969,0
2022,1,3110859,182,182,0
2022,1,3110886,184,184,0
2022,1,3110880,995,995,0
2022,1,3110888,94,94,0
2022,1,3110896,202,202,0
2022,1,3110921,506,506,0
2022,1,3110907,775,775,0
2022,1,3110912,210,210,0
2022,1,3110935,379,379,0
2022,1,3110984,1556,1556,0
2022,1,3110975,10837,10837,0
2022,1,3110974,278,278,0
2022,1,3110971,1542,1542,0
2022,1,3111026,2257,2257,0
2022,1,3111017,272,272,0
2022,1,3111010,1512,1512,0
2022,1,3111040,346,346,0
2022,1,3111034,1465,1465,0
2022,1,3111030,665,665,0
2022,1,3111085,800,800,0
2022,1,3111077,1272,1272,0
2022,1,3111076,297,297,0
2022,1,3111080,434,434,0
2022,1,3110037,208,208,0
2022,1,3110029,247,247,0
2022,1,3110021,395,395,0
2022,1,3110056,514,514,0
2022,1,3110050,306,306,0
2022,1,3110042,683,683,0
2022,1,3110088,101,101,0
2022,1,3110090,3968,3968,0
2022,1,3110063,530,530,0
2022,1,3110058,1189,1189,0
2022,1,3110087,329,329,0
2022,1,3110067,1547,1547,0
2022,1,3110098,242,242,0
2022,1,3110096,502,502,0
2022,1,3110131,4798,4798,0
2022,1,3110134,771,771,0
2022,1,3110136,4745,4745,0
2022,1,3110118,697,697,0
2022,1,3110149,122,122,0
2022,1,3110155,8356,8356,0
2022,1,3110139,204,204,0
2022,1,3110167,380,380,0
2022,1,3110176,791,791,0
2022,1,3110204,411,411,0
2022,1,3110226,1882,1882,0
2022,1,3110211,626,626,0
2022,1,3110207,33,33,0
2022,1,3110200,74,74,0
2022,1,3110256,477,477,0
2022,1,3110266,225,225,0
2022,1,3110236,1015,1015,0
2022,1,3110267,139,139,0
2022,1,3110234,96,96,0
2022,1,3110298,77,77,0
2022,1,3110314,949,949,0
2022,1,3110365,341,341,0
2022,1,3110368,199,199,0
2022,1,3110352,275,275,0
2022,1,3110349,83,83,0
2022,1,3110367,1943,1943,0
2022,1,3110346,96,96,0
2022,1,3110395,163,163,0
2022,1,3110403,316,316,0
2022,1,3110393,49,49,0
2022,1,3110398,474,474,0
2022,1,3110401,243,243,0
2022,1,3110419,695,695,0
2022,1,3110425,136,136,0
2022,1,3110421,249,249,0
