year_code,quarter_code,commercial_district_code,total_facilities_now,total_facilities_previous,facilities_diff
2022,4,3110008,13.0,13.0,0.0
2022,3,3110008,13.0,13.0,0.0
2022,2,3110008,13.0,13.0,0.0
2022,1,3110008,13.0,13.0,0.0
2022,4,3110009,6.0,6.0,0.0
2022,3,3110009,6.0,6.0,0.0
2022,2,3110009,6.0,6.0,0.0
2022,1,3110009,6.0,6.0,0.0
2022,4,3110010,56.0,56.0,0.0
2022,3,3110010,56.0,56.0,0.0
2022,2,3110010,56.0,56.0,0.0
2022,1,3110010,56.0,56.0,0.0
2022,4,3110017,10.0,10.0,0.0
2022,3,3110017,10.0,10.0,0.0
2022,2,3110017,10.0,10.0,0.0
2022,1,3110017,10.0,10.0,0.0
2022,4,3110018,22.0,22.0,0.0
2022,3,3110018,22.0,22.0,0.0
2022,2,3110018,22.0,22.0,0.0
2022,1,3110018,22.0,22.0,0.0
2022,4,3110020,25.0,25.0,0.0
2022,3,3110020,25.0,25.0,0.0
2022,2,3110020,25.0,25.0,0.0
2022,1,3110020,25.0,25.0,0.0
2022,4,3110001,20.0,20.0,0.0
2022,3,3110001,20.0,20.0,0.0
2022,2,3110001,20.0,20.0,0.0
2022,1,3110001,20.0,20.0,0.0
2022,4,3110002,22.0,22.0,0.0
2022,3,3110002,22.0,22.0,0.0
2022,2,3110002,22.0,22.0,0.0
2022,1,3110002,22.0,22.0,0.0
2022,4,3110003,29.0,29.0,0.0
2022,3,3110003,29.0,29.0,0.0
2022,2,3110003,29.0,29.0,0.0
2022,1,3110003,29.0,29.0,0.0
2022,4,3110004,10.0,10.0,0.0
2022,3,3110004,10.0,10.0,0.0
2022,2,3110004,10.0,10.0,0.0
2022,1,3110004,10.0,10.0,0.0
2022,4,3110035,21.0,21.0,0.0
2022,3,3110035,21.0,21.0,0.0
2022,2,3110035,21.0,21.0,0.0
2022,1,3110035,21.0,21.0,0.0
2022,4,3110012,13.0,13.0,0.0
2022,3,3110012,13.0,13.0,0.0
2022,2,3110012,13.0,13.0,0.0
2022,1,3110012,13.0,13.0,0.0
2022,4,3110014,13.0,13.0,0.0
