year_quarter_code,commercial_district_code,commercial_district_name,commercial_district_change_indicator_code,commercial_district_change_indicator_name
20231,3110014,경복고등학교,LH,상권확장
20232,3110014,경복고등학교,LH,상권확장
20233,3110015,청와대사랑채,HL,상권축소
20231,3110015,청와대사랑채,HL,상권축소
20232,3110015,청와대사랑채,HL,상권축소
20233,3110016,평창동동측,HH,정체
20231,3110016,평창동동측,HH,정체
20232,3110016,평창동동측,HH,정체
20233,3110005,세검정,HH,정체
20231,3110005,세검정,HH,정체
20232,3110005,세검정,HH,정체
20233,3110006,부암동주민센터,LH,상권확장
20231,3110006,부암동주민센터,LH,상권확장
20232,3110006,부암동주민센터,LH,상권확장
20233,3110007,사직공원(한국사회과학도서관),LH,상권확장
20231,3110007,사직공원(한국사회과학도서관),LH,상권확장
20232,3110007,사직공원(한국사회과학도서관),LH,상권확장
20233,3110037,신설동역 12번,HH,정체
20231,3110037,신설동역 12번,HH,정체
20232,3110037,신설동역 12번,HH,정체
20233,3110038,경향신문사,HH,정체
20231,3110038,경향신문사,HH,정체
20232,3110038,경향신문사,HH,정체
20233,3110039,회현역 1번,LH,상권확장
20231,3110039,회현역 1번,LH,상권확장
20232,3110039,회현역 1번,LH,상권확장
20233,3110021,성균관대학교,HL,상권축소
20231,3110021,성균관대학교,HL,상권축소
20232,3110021,성균관대학교,HL,상권축소
20233,3110022,경신고등학교,HH,정체
20231,3110022,경신고등학교,HH,정체
20232,3110022,경신고등학교,HH,정체
20233,3110023,서울대병원,HH,정체
20231,3110023,서울대병원,HH,정체
20232,3110023,서울대병원,HH,정체
20233,3110024,혜회동주민센터,HH,정체
20231,3110024,혜회동주민센터,HH,정체
20232,3110024,혜회동주민센터,HH,정체
20233,3110025,충신시장옆,HL,상권축소
20231,3110025,충신시장옆,HL,상권축소
20232,3110025,충신시장옆,HL,상권축소
20233,3110026,종로5가역 4번,HH,정체
20231,3110026,종로5가역 4번,HH,정체
20232,3110026,종로5가역 4번,HH,정체
20233,3110027,혜화역 1번,LL,다이나믹
20231,3110027,혜화역 1번,LL,다이나믹
20232,3110027,혜화역 1번,LL,다이나믹
20233,3110028,이화달팽이길,HH,정체
20231,3110028,이화달팽이길,HH,정체
20232,3110028,이화달팽이길,HH,정체
20233,3110029,동대문역 1번,HH,정체
20231,3110029,동대문역 1번,HH,정체
20232,3110029,동대문역 1번,HH,정체
20233,3110030,동대문역 3번,HH,정체
20231,3110030,동대문역 3번,HH,정체
20232,3110030,동대문역 3번,HH,정체
20233,3110031,창신역 1번,HH,정체
20231,3110031,창신역 1번,HL,상권축소
20232,3110031,창신역 1번,HL,상권축소
20233,3110032,수족관거리,HH,정체
20231,3110032,수족관거리,HH,정체
20232,3110032,수족관거리,HH,정체
20233,3110033,창신역 4번,HH,정체
20231,3110033,창신역 4번,HH,정체
20232,3110033,창신역 4번,HH,정체
20233,3110034,창신1동주민센터,HH,정체
20231,3110034,창신1동주민센터,HH,정체
20232,3110034,창신1동주민센터,HH,정체
20233,3110057,황학코아루아파트,HH,정체
20231,3110057,황학코아루아파트,HH,정체
20232,3110057,황학코아루아파트,HH,정체
20233,3110058,성심여자고등학교,HH,정체
20231,3110058,성심여자고등학교,HH,정체
20232,3110058,성심여자고등학교,HH,정체
20233,3110059,새남터성지,HH,정체
20231,3110059,새남터성지,HH,정체
20232,3110059,새남터성지,HH,정체
20233,3110036,동묘앞역 3번,LL,다이나믹
20231,3110036,동묘앞역 3번,LL,다이나믹
20232,3110036,동묘앞역 3번,LL,다이나믹
20233,3110040,중구회현체육센터(정화예술대남산캠퍼스),HH,정체
20231,3110040,중구회현체육센터(정화예술대남산캠퍼스),HH,정체
20232,3110040,중구회현체육센터(정화예술대남산캠퍼스),HH,정체
20233,3110041,남산케이블카,LL,다이나믹
20231,3110041,남산케이블카,LL,다이나믹
20232,3110041,남산케이블카,LL,다이나믹
20233,3110042,남산골공원옆,LH,상권확장
20231,3110042,남산골공원옆,LH,상권확장
20232,3110042,남산골공원옆,LH,상권확장
20233,3110043,충무초등학교,HH,정체
20231,3110043,충무초등학교,HH,정체
20232,3110043,충무초등학교,HH,정체
20233,3110044,관성묘,HL,상권축소
20231,3110044,관성묘,HL,상권축소
20232,3110044,관성묘,HL,상권축소
20233,3110045,동대문역사문화공원역 5번,HH,정체
20231,3110045,동대문역사문화공원역 5번,HH,정체
20232,3110045,동대문역사문화공원역 5번,HH,정체
20233,3110046,버티고개,LL,다이나믹
20231,3110046,버티고개,LL,다이나믹
20232,3110046,버티고개,LL,다이나믹
20233,3110047,다산성곽길,LL,다이나믹
20231,3110047,다산성곽길,LL,다이나믹
20232,3110047,다산성곽길,LL,다이나믹
20233,3110048,장충동주민센터,HH,정체
20231,3110048,장충동주민센터,LH,상권확장
20232,3110048,장충동주민센터,LH,상권확장
20233,3110049,장충단 고개,LH,상권확장
20231,3110049,장충단 고개,LH,상권확장
20232,3110049,장충단 고개,LH,상권확장
20233,3110053,청구역 1번,HH,정체
20231,3110053,청구역 1번,HH,정체
20232,3110053,청구역 1번,HH,정체
20233,3110054,청구역 3번,LL,다이나믹
20231,3110054,청구역 3번,LL,다이나믹
20232,3110054,청구역 3번,LL,다이나믹
20233,3110055,황학동벼룩시장,HH,정체
20231,3110055,황학동벼룩시장,HH,정체
20232,3110055,황학동벼룩시장,HH,정체
20233,3110056,신당역 3번,LL,다이나믹
20231,3110056,신당역 3번,LL,다이나믹
20232,3110056,신당역 3번,LL,다이나믹
20233,3110079,후암동주민센터,LH,상권확장
20231,3110079,후암동주민센터,LH,상권확장
20232,3110079,후암동주민센터,LH,상권확장
20233,3110080,해방촌예술마을,LL,다이나믹
20231,3110080,해방촌예술마을,LL,다이나믹
20232,3110080,해방촌예술마을,LL,다이나믹
20233,3110081,해방촌 남동측,LL,다이나믹
20231,3110081,해방촌 남동측,LL,다이나믹
20232,3110081,해방촌 남동측,LL,다이나믹
20233,3110050,약수역 7번,LH,상권확장
20231,3110050,약수역 7번,LH,상권확장
20232,3110050,약수역 7번,LH,상권확장
20233,3110051,한양공고앞 교차로,LH,상권확장
20231,3110051,한양공고앞 교차로,LH,상권확장
20232,3110051,한양공고앞 교차로,LH,상권확장
20233,3110052,장충초등학교,HH,정체
20231,3110052,장충초등학교,HH,정체
20232,3110052,장충초등학교,HH,정체
20233,3110060,효창공원앞역 6번,LH,상권확장
20231,3110060,효창공원앞역 6번,LH,상권확장
20232,3110060,효창공원앞역 6번,LH,상권확장
20233,3110061,효창동주민센터,LH,상권확장
20231,3110061,효창동주민센터,LH,상권확장
20232,3110061,효창동주민센터,LH,상권확장
20233,3110062,한강로동땡땡거리(은행나무길),LH,상권확장
20231,3110062,한강로동땡땡거리(은행나무길),HH,정체
20232,3110062,한강로동땡땡거리(은행나무길),HH,정체
20233,3110063,효창공원앞역 5번,HH,정체
20231,3110063,효창공원앞역 5번,HH,정체
20232,3110063,효창공원앞역 5번,HH,정체
20233,3110064,효창공원앞역 2번,HH,정체
20231,3110064,효창공원앞역 2번,HH,정체
20232,3110064,효창공원앞역 2번,HH,정체
20233,3110082,용산구청,LL,다이나믹
20231,3110082,용산구청,LH,상권확장
20232,3110082,용산구청,LH,상권확장
20233,3110083,서빙고역 1번,LH,상권확장
20231,3110083,서빙고역 1번,LH,상권확장
20232,3110083,서빙고역 1번,LH,상권확장
20233,3110084,경리단길북측,LL,다이나믹
20231,3110084,경리단길북측,LL,다이나믹
20232,3110084,경리단길북측,LL,다이나믹
20233,3110085,경리단길남측,LL,다이나믹
20231,3110085,경리단길남측,LL,다이나믹
