year_quarter_code,commercial_district_code,commercial_district_name,monthly_average_income_amount,expenditure_total_amount
20231,3110011,청운초등학교,4237174.0,284960476.0
20231,3110012,성곡미술관,5448355.0,1224738411.0
20231,3110013,체부동홍종문가옥,3732442.0,190109278.0
20231,3110014,경복고등학교,5290159.0,246628270.0
20231,3110015,청와대사랑채,3980058.0,340654450.0
20231,3110016,평창동동측,4884771.0,1635958594.0
20231,3110017,정독도서관,3978549.0,488287266.0
20231,3110018,중앙고등학교,3430192.0,1569319603.0
20231,3110019,창덕궁,2496875.0,266124846.0
20231,3110020,서울국제고등학교,2736810.0,1893277180.0
20231,3110021,성균관대학교,2902668.0,1062083531.0
20231,3110022,경신고등학교,3478003.0,879563907.0
20231,3110023,서울대병원,3548230.0,430124011.0
20231,3110024,혜회동주민센터,3655720.0,526235130.0
20231,3110025,충신시장옆,2770370.0,232818153.0
20231,3110026,종로5가역 4번,2729503.0,76260454.0
20231,3110027,혜화역 1번,2786575.0,1443674534.0
20231,3110028,이화달팽이길,2461097.0,2099016363.0
20231,3110029,동대문역 1번,2098071.0,2352986552.0
20231,3110030,동대문역 3번,2376672.0,202754119.0
20231,3110031,창신역 1번,2216896.0,173868489.0
20231,3110032,수족관거리,1616161.0,37011348.0
20231,3110033,창신역 4번,2207936.0,771111000.0
20231,3110034,창신1동주민센터,960234.0,212483540.0
20231,3110035,동묘앞역 2번,2251484.0,1867544638.0
20231,3110036,동묘앞역 3번,2674433.0,173906013.0
20231,3110037,신설동역 12번,2191167.0,969598430.0
20231,3110038,경향신문사,1554706.0,120364348.0
20231,3110039,회현역 1번,1988593.0,57559772.0
20231,3110040,중구회현체육센터(정화예술대남산캠퍼스),2645687.0,1230137661.0
20231,3110041,남산케이블카,2435163.0,597007525.0
20231,3110042,남산골공원옆,3232386.0,1228216215.0
20231,3110043,충무초등학교,2824585.0,1564568535.0
20231,3110044,관성묘,2847641.0,178946367.0
20231,3110045,동대문역사문화공원역 5번,2461667.0,354161658.0
20231,3110046,버티고개,2405645.0,2189269535.0
20231,3110047,다산성곽길,2759072.0,1195911920.0
20231,3110048,장충동주민센터,2981152.0,1413011253.0
20231,3110049,장충단 고개,2908231.0,1079848128.0
20231,3110050,약수역 7번,2710670.0,793450199.0
20231,3110051,한양공고앞 교차로,2461144.0,667566496.0
20231,3110052,장충초등학교,2404238.0,797341566.0
20231,3110053,청구역 1번,2240230.0,975466676.0
20231,3110054,청구역 3번,3171413.0,2007417767.0
20231,3110055,황학동벼룩시장,2774287.0,183778794.0
20231,3110056,신당역 3번,2376257.0,2345870071.0
20231,3110057,황학코아루아파트,3108300.0,995897832.0
20231,3110058,성심여자고등학교,2911566.0,2194575007.0
20231,3110059,새남터성지,3266131.0,1460700558.0
20231,3110060,효창공원앞역 6번,2822548.0,1779795689.0
20231,3110061,효창동주민센터,2979262.0,2000862980.0
20231,3110062,한강로동땡땡거리(은행나무길),2774795.0,776318976.0
20231,3110063,효창공원앞역 5번,3009124.0,1162886145.0
20231,3110064,효창공원앞역 2번,3243655.0,1617004489.0
20231,3110065,남정초등학교,2695366.0,115479057.0
20231,3110066,서울역 15번,2448662.0,1451433018.0
20231,3110067,배문고등학교,2637062.0,4042325194.0
20231,3110068,남영역 1번,3433048.0,1394945162.0
20231,3110069,숙대입구,2684434.0,2091408330.0
20231,3110070,용산세무서,3782576.0,126079583.0
20231,3110071,한강미주맨션아파트,5482498.0,160286532.0
20231,3110072,열정도,1916818.0,164351561.0
20231,3110073,삼각지역 3번,3647990.0,171521415.0
20231,3110074,서울역 12번,2756400.0,1534781017.0
20231,3110075,숙대입구역 1번,2703737.0,1617334839.0
20231,3110076,삼각지역 14번,2029858.0,12729189.0
20231,3110077,삼광초등학교,2851272.0,701686243.0
