"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"20231","A","골목상권","3110014","경복고등학교","LH","상권확장","103","59","104","52"
"20232","A","골목상권","3110014","경복고등학교","LH","상권확장","105","59","106","52"
"20233","A","골목상권","3110015","청와대사랑채","HL","상권축소","139","46","107","52"
"20231","A","골목상권","3110015","청와대사랑채","HL","상권축소","138","46","104","52"
"20232","A","골목상권","3110015","청와대사랑채","HL","상권축소","141","46","106","52"
"20233","A","골목상권","3110016","평창동동측","HH","정체","114","62","107","52"
"20231","A","골목상권","3110016","평창동동측","HH","정체","111","60","104","52"
"20232","A","골목상권","3110016","평창동동측","HH","정체","111","61","106","52"
"20233","A","골목상권","3110005","세검정","HH","정체","114","60","107","52"
"20231","A","골목상권","3110005","세검정","HH","정체","113","59","104","52"
"20232","A","골목상권","3110005","세검정","HH","정체","113","59","106","52"
"20233","A","골목상권","3110006","부암동주민센터","LH","상권확장","97","55","107","52"
"20231","A","골목상권","3110006","부암동주민센터","LH","상권확장","95","55","104","52"
"20232","A","골목상권","3110006","부암동주민센터","LH","상권확장","98","55","106","52"
"20233","A","골목상권","3110007","사직공원(한국사회과학도서관)","LH","상권확장","104","57","107","52"
"20231","A","골목상권","3110007","사직공원(한국사회과학도서관)","LH","상권확장","97","58","104","52"
"20232","A","골목상권","3110007","사직공원(한국사회과학도서관)","LH","상권확장","98","57","106","52"
"20233","A","골목상권","3110037","신설동역 12번","HH","정체","117","53","107","52"
"20231","A","골목상권","3110037","신설동역 12번","HH","정체","117","52","104","52"
"20232","A","골목상권","3110037","신설동역 12번","HH","정체","115","53","106","52"
"20233","A","골목상권","3110038","경향신문사","HH","정체","132","64","107","52"
"20231","A","골목상권","3110038","경향신문사","HH","정체","124","65","104","52"
"20232","A","골목상권","3110038","경향신문사","HH","정체","126","65","106","52"
"20233","A","골목상권","3110039","회현역 1번","LH","상권확장","92","80","107","52"
"20231","A","골목상권","3110039","회현역 1번","LH","상권확장","86","80","104","52"
"20232","A","골목상권","3110039","회현역 1번","LH","상권확장","89","80","106","52"
"20233","A","골목상권","3110021","성균관대학교","HL","상권축소","118","50","107","52"
"20231","A","골목상권","3110021","성균관대학교","HL","상권축소","119","49","104","52"
"20232","A","골목상권","3110021","성균관대학교","HL","상권축소","118","49","106","52"
"20233","A","골목상권","3110022","경신고등학교","HH","정체","112","57","107","52"
"20231","A","골목상권","3110022","경신고등학교","HH","정체","111","57","104","52"
"20232","A","골목상권","3110022","경신고등학교","HH","정체","110","57","106","52"
"20233","A","골목상권","3110023","서울대병원","HH","정체","117","62","107","52"
"20231","A","골목상권","3110023","서울대병원","HH","정체","112","61","104","52"
"20232","A","골목상권","3110023","서울대병원","HH","정체","113","62","106","52"
