"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"20233","A","골목상권","3110009","자하문터널","45","124","139","21","10","9","13","118","120","38","8","6","","79","225732091"
"20233","A","골목상권","3110020","서울국제고등학교","102","550","91","16","4","2","235","288","122","10","6","","2","54","140643747"
"20231","A","골목상권","3110001","이북5도청사","18","20","126","12","13","46","11","4","23","74","40","25","40","115","435370606"
"20232","A","골목상권","3110001","이북5도청사","18","20","126","12","13","46","11","4","23","74","40","25","40","115","435370606"
"20233","A","골목상권","3110001","이북5도청사","18","20","126","12","13","46","11","4","23","74","40","25","40","115","435370606"
"20231","A","골목상권","3110002","독립문역 1번","4","16","18","","","","4","11","7","","","","12","65","325442708"
"20232","A","골목상권","3110002","독립문역 1번","4","16","18","","","","4","11","7","","","","12","65","325442708"
"20233","A","골목상권","3110002","독립문역 1번","4","16","18","","","","4","11","7","","","","12","65","325442708"
"20231","A","골목상권","3110003","세검정초등학교","69","297","229","38","51","16","35","252","178","51","12","82","21","78","269170620"
"20232","A","골목상권","3110003","세검정초등학교","69","297","229","38","51","16","35","252","178","51","12","82","21","78","269170620"
"20233","A","골목상권","3110003","세검정초등학교","69","297","229","38","51","16","35","252","178","51","12","82","21","78","269170620"
"20231","A","골목상권","3110004","대신고등학교","5","12","11","","","","6","6","11","","","","","53","140680000"
"20232","A","골목상권","3110004","대신고등학교","5","12","11","","","","6","6","11","","","","","53","140680000"
"20233","A","골목상권","3110004","대신고등학교","5","12","11","","","","6","6","11","","","","","53","140680000"
"20231","A","골목상권","3110035","동묘앞역 2번","89","571","85","1","","","148","373","126","9","1","","","49","145629605"
"20232","A","골목상권","3110035","동묘앞역 2번","89","571","85","1","","","148","373","126","9","1","","","49","145629605"
"20233","A","골목상권","3110035","동묘앞역 2번","89","571","85","1","","","148","373","126","9","1","","","49","145629605"
"20231","A","골목상권","3110011","청운초등학교","10","17","28","6","3","","","1","14","22","14","3","","86","367955952"
"20232","A","골목상권","3110011","청운초등학교","10","17","28","6","3","","","1","14","22","14","3","","86","367955952"
"20233","A","골목상권","3110011","청운초등학교","10","17","28","6","3","","","1","14","22","14","3","","86","367955952"
"20231","A","골목상권","3110012","성곡미술관","16","39","42","16","26","3","1","9","19","23","20","2","52","87","538009186"
"20232","A","골목상권","3110012","성곡미술관","16","39","42","16","26","3","1","9","19","23","20","2","52","87","538009186"
"20233","A","골목상권","3110012","성곡미술관","16","39","42","16","26","3","1","9","19","23","20","2","52","87","538009186"
"20231","A","골목상권","3110013","체부동홍종문가옥","5","18","18","","1","8","4","10","5","6","","11","9","87","409719553"
"20232","A","골목상권","3110013","체부동홍종문가옥","5","18","18","","1","8","4","10","5","6","","11","9","87","409719553"
"20233","A","골목상권","3110013","체부동홍종문가옥","5","18","18","","1","8","4","10","5","6","","11","9","87","409719553"
"20231","A","골목상권","3110014","경복고등학교","12","10","47","7","3","6","1","1","24","32","5","2","8","91","351638624"
"20232","A","골목상권","3110014","경복고등학교","12","10","47","7","3","6","1","1","24","32","5","2","8","91","351638624"
"20233","A","골목상권","3110014","경복고등학교","12","10","47","7","3","6","1","1","24","32","5","2","8","91","351638624"
"20231","A","골목상권","3110015","청와대사랑채","12","23","39","4","5","21","4","3","25","24","10","1","25","89","373441117"
"20232","A","골목상권","3110015","청와대사랑채","12","23","39","4","5","21","4","3","25","24","10","1","25","89","373441117"
"20233","A","골목상권","3110015","청와대사랑채","12","23","39","4","5","21","4","3","25","24","10","1","25","89","373441117"
"20231","A","골목상권","3110016","평창동동측","22","23","52","10","27","21","6","19","28","28","11","7","34","113","400472043"
"20232","A","골목상권","3110016","평창동동측","22","23","52","10","27","21","6","19","28","28","11","7","34","113","400472043"
"20233","A","골목상권","3110016","평창동동측","22","23","52","10","27","21","6","19","28","28","11","7","34","113","400472043"
"20231","A","골목상권","3110005","세검정","41","118","205","50","16","58","43","85","145","95","7","11","61","91","303902089"
"20232","A","골목상권","3110005","세검정","41","118","205","50","16","58","43","85","145","95","7","11","61","91","303902089"
"20233","A","골목상권","3110005","세검정","41","118","205","50","16","58","43","85","145","95","7","11","61","91","303902089"
"20231","A","골목상권","3110006","부암동주민센터","2","","15","4","","1","","","11","8","","","1","93","318712121"
"20232","A","골목상권","3110006","부암동주민센터","2","","15","4","","1","","","11","8","","","1","93","318712121"
"20233","A","골목상권","3110006","부암동주민센터","2","","15","4","","1","","","11","8","","","1","93","318712121"
"20231","A","골목상권","3110007","사직공원(한국사회과학도서관)","100","573","38","1","","","118","446","48","","","","","51","141005073"
"20232","A","골목상권","3110007","사직공원(한국사회과학도서관)","100","573","38","1","","","118","446","48","","","","","51","141005073"
"20233","A","골목상권","3110007","사직공원(한국사회과학도서관)","100","573","38","1","","","118","446","48","","","","","51","141005073"
"20231","A","골목상권","3110037","신설동역 12번","38","242","55","","","","49","161","87","","","","","52","158586352"
"20232","A","골목상권","3110037","신설동역 12번","38","242","55","","","","49","161","87","","","","","52","158586352"
"20233","A","골목상권","3110037","신설동역 12번","38","242","55","","","","49","161","87","","","","","52","158586352"
"20231","A","골목상권","3110021","성균관대학교","27","179","56","4","","","79","64","92","3","1","","","49","169575470"
"20232","A","골목상권","3110021","성균관대학교","27","179","56","4","","","79","64","92","3","1","","","49","169575470"
"20231","A","골목상권","3110022","경신고등학교","33","170","115","10","3","","69","55","107","52","14","1","","58","215567537"
"20232","A","골목상권","3110022","경신고등학교","33","170","115","10","3","","69","55","107","52","14","1","","58","215567537"
"20233","A","골목상권","3110022","경신고등학교","33","170","115","10","3","","69","55","107","52","14","1","","58","215567537"
"20231","A","골목상권","3110023","서울대병원","45","290","","","","","149","129","12","","","","","37","101211064"
"20232","A","골목상권","3110023","서울대병원","45","290","","","","","149","129","12","","","","","37","101211064"
"20233","A","골목상권","3110023","서울대병원","45","290","","","","","149","129","12","","","","","37","101211064"
"20231","A","골목상권","3110024","혜회동주민센터","12","76","19","2","","1","26","21","37","13","","1","","47","178239836"
"20232","A","골목상권","3110024","혜회동주민센터","12","76","19","2","","1","26","21","37","13","","1","","47","178239836"
"20233","A","골목상권","3110024","혜회동주민센터","12","76","19","2","","1","26","21","37","13","","1","","47","178239836"
"20231","A","골목상권","3110025","충신시장옆","1","12","","","","","","12","","","","","","22","121500000"
"20232","A","골목상권","3110025","충신시장옆","1","12","","","","","","12","","","","","","22","121500000"
"20233","A","골목상권","3110025","충신시장옆","1","12","","","","","","12","","","","","","22","121500000"
"20231","A","골목상권","3110027","혜화역 1번","101","530","118","9","","","209","336","104","7","","1","","50","134365084"
"20232","A","골목상권","3110027","혜화역 1번","101","530","118","9","","","209","336","104","7","","1","","50","134365084"
"20233","A","골목상권","3110027","혜화역 1번","101","530","118","9","","","209","336","104","7","","1","","50","134365084"
"20231","A","골목상권","3110028","이화달팽이길","23","116","65","2","3","","53","60","48","25","","","","54","174263300"
"20232","A","골목상권","3110028","이화달팽이길","23","116","65","2","3","","53","60","48","25","","","","54","174263300"
"20233","A","골목상권","3110028","이화달팽이길","23","116","65","2","3","","53","60","48","25","","","","54","174263300"
"20231","A","골목상권","3110029","동대문역 1번","124","725","90","12","4","1","140","552","133","5","2","","","52","145027275"
"20232","A","골목상권","3110029","동대문역 1번","124","725","90","12","4","1","140","552","133","5","2","","","52","145027275"
"20233","A","골목상권","3110029","동대문역 1번","124","725","90","12","4","1","140","552","133","5","2","","","52","145027275"
"20231","A","골목상권","3110030","동대문역 3번","1","11","","","","","","11","","","","","","59","176000000"
"20232","A","골목상권","3110030","동대문역 3번","1","11","","","","","","11","","","","","","59","176000000"
"20233","A","골목상권","3110030","동대문역 3번","1","11","","","","","","11","","","","","","59","176000000"
"20231","A","골목상권","3110031","창신역 1번","4","45","8","","","","","36","17","","","","","46","176220455"
"20232","A","골목상권","3110031","창신역 1번","4","45","8","","","","","36","17","","","","","46","176220455"
"20233","A","골목상권","3110031","창신역 1번","4","45","8","","","","","36","17","","","","","46","176220455"
"20231","A","골목상권","3110033","창신역 4번","19","115","28","","","","2","73","66","2","","","","51","193751868"
"20232","A","골목상권","3110033","창신역 4번","19","115","28","","","","2","73","66","2","","","","51","193751868"
"20233","A","골목상권","3110033","창신역 4번","19","115","28","","","","2","73","66","2","","","","51","193751868"
"20231","A","골목상권","3110057","황학코아루아파트","6","52","5","1","","","","41","","11","","5","1","44","264406566"
"20232","A","골목상권","3110057","황학코아루아파트","6","52","5","1","","","","41","","11","","5","1","44","264406566"
"20233","A","골목상권","3110057","황학코아루아파트","6","52","5","1","","","","41","","11","","5","1","44","264406566"
"20231","A","골목상권","3110058","성심여자고등학교","49","312","119","22","9","","","111","139","110","28","59","15","53","306424346"
"20232","A","골목상권","3110058","성심여자고등학교","49","312","119","22","9","","","111","139","110","28","59","15","53","306424346"
"20233","A","골목상권","3110058","성심여자고등학교","49","312","119","22","9","","","111","139","110","28","59","15","53","306424346"
"20231","A","골목상권","3110059","새남터성지","36","234","77","","","","","3","27","133","71","23","54","53","461009692"
"20232","A","골목상권","3110059","새남터성지","36","234","77","","","","","3","27","133","71","23","54","53","461009692"
"20233","A","골목상권","3110059","새남터성지","36","234","77","","","","","3","27","133","71","23","54","53","461009692"
"20231","A","골목상권","3110036","동묘앞역 3번","1","11","","","","","11","","","","","","","19","83300000"
"20232","A","골목상권","3110036","동묘앞역 3번","1","11","","","","","11","","","","","","","19","83300000"
"20233","A","골목상권","3110036","동묘앞역 3번","1","11","","","","","11","","","","","","","19","83300000"
"20231","A","골목상권","3110040","중구회현체육센터(정화예술대남산캠퍼스)","6","24","31","1","","","3","22","23","8","","","","68","216179630"
"20232","A","골목상권","3110040","중구회현체육센터(정화예술대남산캠퍼스)","6","24","31","1","","","3","22","23","8","","","","68","216179630"
"20233","A","골목상권","3110040","중구회현체육센터(정화예술대남산캠퍼스)","6","24","31","1","","","3","22","23","8","","","","68","216179630"
"20231","A","골목상권","3110041","남산케이블카","3","8","5","1","","","","10","3","1","","","","72","196253968"
"20232","A","골목상권","3110041","남산케이블카","3","8","5","1","","","","10","3","1","","","","72","196253968"
"20233","A","골목상권","3110041","남산케이블카","3","8","5","1","","","","10","3","1","","","","72","196253968"
"20231","A","골목상권","3110042","남산골공원옆","13","109","13","11","","","5","100","12","16","","","","49","193920549"
"20232","A","골목상권","3110042","남산골공원옆","13","109","13","11","","","5","100","12","16","","","","49","193920549"
"20233","A","골목상권","3110042","남산골공원옆","13","109","13","11","","","5","100","12","16","","","","49","193920549"
"20231","A","골목상권","3110043","충무초등학교","114","991","13","2","1","","549","338","111","7","1","1","","35","118149882"
"20232","A","골목상권","3110043","충무초등학교","114","991","13","2","1","","549","338","111","7","1","1","","35","118149882"
"20233","A","골목상권","3110043","충무초등학교","114","991","13","2","1","","549","338","111","7","1","1","","35","118149882"
"20231","A","골목상권","3110044","관성묘","4","41","1","","1","","12","23","7","","1","","","41","148518182"
"20232","A","골목상권","3110044","관성묘","4","41","1","","1","","12","23","7","","1","","","41","148518182"
"20233","A","골목상권","3110044","관성묘","4","41","1","","1","","12","23","7","","1","","","41","148518182"
"20231","A","골목상권","3110045","동대문역사문화공원역 5번","4","24","3","","","","12","8","7","","","","","46","161539583"
"20232","A","골목상권","3110045","동대문역사문화공원역 5번","4","24","3","","","","12","8","7","","","","","46","161539583"
"20233","A","골목상권","3110045","동대문역사문화공원역 5번","4","24","3","","","","12","8","7","","","","","46","161539583"
"20231","A","골목상권","3110046","버티고개","147","1123","48","","","","268","857","46","","","","","51","125528923"
"20232","A","골목상권","3110046","버티고개","147","1123","48","","","","268","857","46","","","","","51","125528923"
"20233","A","골목상권","3110046","버티고개","147","1123","48","","","","268","857","46","","","","","51","125528923"
