"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","점포_수","유사_업종_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수","프랜차이즈_점포_수"
"20191","11","서울시","CS100002","중식음식점","4838","5183","5","238","4","216","345"
"20191","11","서울시","CS100007","치킨전문점","2275","5904","5","266","5","263","3629"
"20191","11","서울시","CS200004","컴퓨터학원","328","332","4","14","5","16","4"
"20191","11","서울시","CS200007","치과의원","4919","4920","2","79","2","73","1"
"20191","11","서울시","CS200011","변리사사무소","652","655","4","23","0","1","3"
"20191","11","서울시","CS200012","법무사사무소","2222","2222","2","35","2","38","0"
"20191","11","서울시","CS200014","회계사사무소","936","936","1","8","1","13","0"
"20191","11","서울시","CS200031","세탁소","4078","5034","3","152","3","126","956"
"20191","11","서울시","CS200045","비디오/서적임대","253","309","4","12","4","12","56"
"20191","11","서울시","CS300007","육류판매","6736","6745","3","177","3","207","9"
"20191","11","서울시","CS300012","한복점","564","565","2","9","4","20","1"
"20191","11","서울시","CS300028","화초","4708","4715","4","177","3","144","7"
"20191","11","서울시","CS300029","애완동물","1597","1637","6","103","4","69","40"
"20191","11","서울시","CS300030","중고가구","146","148","3","4","0","0","2"
"20191","11","서울시","CS300034","악기","805","805","2","16","1","9","0"
"20191","11","서울시","CS300039","모터사이클및부품","578","579","3","16","2","13","1"
"20191","11","서울시","CS100006","패스트푸드점","2514","5033","5","235","3","171","2519"
"20191","11","서울시","CS200001","일반교습학원","12957","14175","5","680","4","501","1218"
"20191","11","서울시","CS200017","골프연습장","1444","1469","4","58","4","58","25"
"20191","11","서울시","CS200021","기타오락장","1491","1546","7","102","8","121","55"
"20191","11","서울시","CS200026","자동차미용","1223","1265","4","56","4","49","42"
"20191","11","서울시","CS200028","미용실","16524","17671","3","524","3","480","1147"
"20191","11","서울시","CS200029","네일숍","3094","3185","6","195","3","86","91"
"20191","11","서울시","CS200030","피부관리실","4998","5148","5","279","5","239","150"
"20191","11","서울시","CS200033","부동산중개업","30227","30235","4","1290","2","491","8"
"20191","11","서울시","CS200038","독서실","1984","2325","5","120","4","88","341"
"20191","11","서울시","CS200047","가정용품임대","510","511","9","45","1","4","1"
"20191","11","서울시","CS300009","청과상","6813","6845","3","203","2","130","32"
"20191","11","서울시","CS300011","일반의류","43546","43672","4","1584","4","1582","126"
"20191","11","서울시","CS300013","유아의류","4992","5009","4","187","2","89","17"
"20191","11","서울시","CS300018","의약품","8135","8626","3","223","2","197","491"
"20191","11","서울시","CS300022","화장품","17036","18619","4","740","5","894","1583"
"20191","11","서울시","CS300033","철물점","3110","3122","1","38","2","65","12"
"20191","11","서울시","CS100003","일식음식점","5401","6254","5","338","4","276","853"
"20191","11","서울시","CS100005","제과점","3386","5452","6","312","4","209","2066"
