year_quarter_code,service_code,major_category_code,major_category_code_name,middle_category_code,middle_category_code_name,service_name,store_count,franchise_store_count
20211,CS100002,C01,외식업,C0101,음식(식사),중식음식점,5097,365
20211,CS100007,C01,외식업,C0101,음식(식사),치킨전문점,2472,3850
20211,CS200004,C02,서비스업,C0201,학원,컴퓨터학원,344,5
20211,CS200007,C02,서비스업,C0202,의원,치과의원,4982,2
20211,CS200011,C02,서비스업,C0204,기타 서비스,변리사사무소,762,3
20211,CS200012,C02,서비스업,C0204,기타 서비스,법무사사무소,2346,0
20211,CS200014,C02,서비스업,C0204,기타 서비스,회계사사무소,943,0
20211,CS200031,C02,서비스업,C0204,기타 서비스,세탁소,4293,1015
20211,CS200045,C02,서비스업,C0204,기타 서비스,비디오/서적임대,208,51
20211,CS300007,C03,도소매업,C0301,생활소매,육류판매,6610,24
20211,CS300012,C03,도소매업,C0303,잡화소매,한복점,535,1
20211,CS300028,C03,도소매업,C0303,잡화소매,화초,4891,6
20211,CS300029,C03,도소매업,C0303,잡화소매,애완동물,1749,44
20211,CS300030,C03,도소매업,C0303,잡화소매,중고가구,143,3
20211,CS300034,C03,도소매업,C0303,잡화소매,악기,808,2
20211,CS300039,C03,도소매업,C0302,전자소매,모터사이클및부품,636,1
20211,CS100006,C01,외식업,C0101,음식(식사),패스트푸드점,3133,2703
20211,CS200001,C02,서비스업,C0201,학원,일반교습학원,14188,1295
20211,CS200017,C02,서비스업,C0203,여가/미용,골프연습장,1473,67
20211,CS200021,C02,서비스업,C0203,여가/미용,기타오락장,1170,47
20211,CS200026,C02,서비스업,C0204,기타 서비스,자동차미용,1443,38
20211,CS200028,C02,서비스업,C0203,여가/미용,미용실,17070,1199
20211,CS200029,C02,서비스업,C0203,여가/미용,네일숍,3742,72
20211,CS200030,C02,서비스업,C0203,여가/미용,피부관리실,5342,160
20211,CS200033,C02,서비스업,C0204,기타 서비스,부동산중개업,34313,10
20211,CS200038,C02,서비스업,C0204,기타 서비스,독서실,2349,376
20211,CS200047,C02,서비스업,C0204,기타 서비스,가정용품임대,622,2
20211,CS300009,C03,도소매업,C0301,생활소매,청과상,7141,28
20211,CS300011,C03,도소매업,C0303,잡화소매,일반의류,42024,132
20211,CS300013,C03,도소매업,C0303,잡화소매,유아의류,5709,15
20211,CS300018,C03,도소매업,C0303,잡화소매,의약품,8376,510
20211,CS300022,C03,도소매업,C0303,잡화소매,화장품,16305,1244
20211,CS300033,C03,도소매업,C0302,전자소매,철물점,3029,11
20211,CS100003,C01,외식업,C0101,음식(식사),일식음식점,5745,736
20211,CS100005,C01,외식업,C0102,제과/커피,제과점,3725,1941
20211,CS200003,C02,서비스업,C0201,학원,예술학원,7110,300
20211,CS200008,C02,서비스업,C0202,의원,한의원,3763,0
