year_code,quarter_code,commercial_district_code,total_foot_traffic_now,total_foot_traffic_previous,traffic_diff
2022,4,3111089,863016,819807,43209
2022,4,3111088,328083,351238,-23155
2022,4,3111087,209630,196926,12704
2022,4,3111086,404289,364401,39888
2022,4,3111085,816755,866212,-49457
2022,4,3111084,191995,145633,46362
2022,4,3111083,826009,986163,-160154
2022,4,3111082,140968,187232,-46264
2022,4,3111080,572099,537061,35038
2022,4,3111079,389965,440722,-50757
2022,4,3111078,3886882,4069522,-182640
2022,4,3111077,3278410,3402608,-124198
2022,4,3111076,410794,443091,-32297
2022,4,3111075,1454400,1652788,-198388
2022,4,3111074,571031,655200,-84169
2022,4,3111073,3655168,3683696,-28528
2022,4,3111072,2064680,2146254,-81574
2022,4,3111071,562715,434003,128712
2022,4,3111070,1489531,2409687,-920156
2022,4,3111069,2530652,3093960,-563308
2022,4,3111068,277574,228552,49022
2022,4,3111067,2534000,2677021,-143021
2022,4,3111066,1299289,1310061,-10772
2022,4,3111065,580143,601025,-20882
2022,4,3111064,472038,614504,-142466
2022,4,3111063,1370687,1482390,-111703
2022,4,3111062,910924,865025,45899
2022,4,3111061,2929749,3176383,-246634
2022,4,3111060,3272129,3367532,-95403
2022,4,3111059,3340728,3484675,-143947
2022,4,3111058,498131,466366,31765
2022,4,3111057,824401,975810,-151409
2022,4,3111056,337483,322202,15281
2022,4,3111055,31957,19034,12923
2022,4,3111054,208738,134402,74336
2022,4,3111053,1108443,1148964,-40521
2022,4,3111052,1521912,1143455,378457
2022,4,3111051,2853893,2949165,-95272
2022,4,3111049,1245315,1253552,-8237
2022,4,3111047,267823,362233,-94410
2022,4,3111046,2027304,1948052,79252
2022,4,3111045,275628,280402,-4774
2022,4,3111044,1370840,1385902,-15062
2022,4,3111043,649119,797702,-148583
2022,4,3111042,2072931,1741864,331067
2022,4,3111040,698926,668473,30453
2022,4,3111039,1021221,1025052,-3831
2022,4,3111038,601179,402263,198916
2022,4,3111037,229784,230661,-877
2022,4,3111036,361827,372192,-10365
2022,4,3111035,775679,868547,-92868
2022,4,3111034,776501,827073,-50572
2022,4,3111033,51808,44698,7110
2022,4,3111032,363223,428138,-64915
2022,4,3111031,967696,980883,-13187
2022,4,3111030,1452410,1244201,208209
2022,4,3111029,196665,210795,-14130
2022,4,3111028,878403,925108,-46705
2022,4,3111027,943567,904038,39529
2022,4,3111026,936231,930260,5971
2022,4,3111025,894547,912971,-18424
2022,4,3111024,378583,394289,-15706
2022,4,3111023,906787,834813,71974
2022,4,3111022,386073,389565,-3492
2022,4,3111021,2563579,2610099,-46520
2022,4,3111020,236511,231012,5499
2022,4,3111019,1424430,1357317,67113
2022,4,3111017,171194,164809,6385
2022,4,3111016,709510,709562,-52
2022,4,3111015,1879020,1982245,-103225
2022,4,3111014,774206,677908,96298
2022,4,3111013,2417530,2314715,102815
2022,4,3111012,983880,1164085,-180205
2022,4,3111011,40721,37802,2919
2022,4,3111010,1616489,1886489,-270000
2022,4,3111009,271531,230251,41280
2022,4,3111008,726532,721066,5466
2022,4,3111007,1163401,1246056,-82655
2022,4,3111006,2007885,2297415,-289530
2022,4,3111005,1480147,1463928,16219
2022,4,3111004,2205563,2263633,-58070
2022,4,3111003,2122020,2137747,-15727
2022,4,3111001,43585,51074,-7489
2022,4,3110999,152471,151781,690
2022,4,3110997,1870798,2169539,-298741
2022,4,3110996,758383,694966,63417
2022,4,3110995,580044,607278,-27234
2022,4,3110994,447858,442313,5545
2022,4,3110992,1759645,1958770,-199125
2022,4,3110989,632224,705664,-73440
2022,4,3110988,136402,122304,14098
2022,4,3110984,877250,924167,-46917
2022,4,3110983,440736,427713,13023
2022,4,3110982,344502,302160,42342
2022,4,3110981,424948,407623,17325
2022,4,3110980,531053,493799,37254
2022,4,3110979,313634,340421,-26787
2022,4,3110976,746171,675662,70509
2022,4,3110975,313767,284509,29258
2022,4,3110974,400919,450195,-49276
2022,4,3110973,1118510,1147521,-29011
2022,4,3110972,344656,346611,-1955
2022,4,3110971,784767,790989,-6222
2022,4,3110970,343313,353813,-10500
2022,4,3110969,806141,775114,31027
2022,4,3110968,297260,299612,-2352
2022,4,3110967,591089,679984,-88895
2022,4,3110966,1700978,1646418,54560
2022,4,3110961,889633,634664,254969
2022,4,3110959,110708,75312,35396
2022,4,3110958,648480,567871,80609
2022,4,3110957,855214,877561,-22347
2022,4,3110956,577145,348297,228848
2022,4,3110955,2683268,2882095,-198827
2022,4,3110954,488517,433782,54735
2022,4,3110953,396637,412098,-15461
2022,4,3110952,211687,235010,-23323
2022,4,3110951,581834,585829,-3995
2022,4,3110949,381423,355810,25613
2022,4,3110947,21803,40140,-18337
2022,4,3110945,31559,34114,-2555
2022,4,3110943,478762,515333,-36571
2022,4,3110942,1740798,1761127,-20329
2022,4,3110940,399895,384249,15646
2022,4,3110939,1969672,1915374,54298
2022,4,3110936,223111,195260,27851
2022,4,3110935,657687,529355,128332
2022,4,3110934,422249,434232,-11983
2022,4,3110932,248246,250660,-2414
2022,4,3110931,22101,20077,2024
2022,4,3110930,483709,585404,-101695
2022,4,3110929,1562290,1449976,112314
2022,4,3110926,812953,1100449,-287496
2022,4,3110925,579192,622637,-43445
2022,4,3110924,420819,449150,-28331
2022,4,3110922,864248,873065,-8817
2022,4,3110921,346101,464060,-117959
2022,4,3110919,603605,647384,-43779
2022,4,3110918,1068137,1056240,11897
2022,4,3110917,112565,114159,-1594
2022,4,3110916,739320,844951,-105631
2022,4,3110915,181561,194664,-13103
2022,4,3110913,835781,982776,-146995
2022,4,3110912,161832,223355,-61523
2022,4,3110910,392221,366675,25546
2022,4,3110908,22311,40409,-18098
2022,4,3110907,954899,837655,117244
2022,4,3110906,491948,521093,-29145
2022,4,3110905,400043,418332,-18289
2022,4,3110904,299338,243984,55354
2022,4,3110903,796434,823951,-27517
2022,4,3110902,2366351,2245023,121328
2022,4,3110901,1226563,1141020,85543
2022,4,3110900,1821303,1871516,-50213
2022,4,3110899,881176,916813,-35637
2022,4,3110897,1531350,1495090,36260
2022,4,3110896,199060,193208,5852
2022,4,3110895,3843338,3938762,-95424
2022,4,3110893,89581,88835,746
2022,4,3110892,4503641,4676409,-172768
2022,4,3110891,215345,157501,57844
2022,4,3110890,831924,836152,-4228
2022,4,3110889,490975,493904,-2929
2022,4,3110888,724456,697771,26685
2022,4,3110887,541760,431919,109841
2022,4,3110886,1140933,1125006,15927
2022,4,3110885,1479045,1542428,-63383
2022,4,3110884,753940,728326,25614
2022,4,3110883,1242977,1096964,146013
2022,4,3110882,1668919,1676894,-7975
2022,4,3110881,4233725,4080924,152801
2022,4,3110880,492833,507869,-15036
2022,4,3110879,285055,285612,-557
2022,4,3110878,653750,852938,-199188
2022,4,3110877,1332385,1328994,3391
2022,4,3110876,534416,513792,20624
2022,4,3110875,152110,181454,-29344
2022,4,3110874,1857520,1952513,-94993
2022,4,3110873,607580,621584,-14004
2022,4,3110872,920106,860069,60037
2022,4,3110871,770724,735131,35593
2022,4,3110869,4243695,4276041,-32346
2022,4,3110868,728048,808641,-80593
2022,4,3110867,1243808,1267205,-23397
2022,4,3110866,1254408,1302195,-47787
2022,4,3110865,2395157,2336133,59024
2022,4,3110864,1531686,1826602,-294916
2022,4,3110863,801918,931544,-129626
2022,4,3110862,409537,759962,-350425
2022,4,3110861,2041931,2006088,35843
