year_code,quarter_code,commercial_district_code,total_resident_population_now,total_resident_population_previous,resident_population_diff
2022,1,3110555,255,255,0
2022,1,3110557,3220,3220,0
2022,1,3110558,8597,8597,0
2022,1,3110559,2482,2482,0
2022,1,3110560,1546,1546,0
2022,1,3110561,2175,2175,0
2022,1,3110562,2902,2902,0
2022,1,3110563,713,713,0
2022,1,3110564,571,571,0
2022,1,3110565,1544,1544,0
2022,1,3110566,1846,1846,0
2022,1,3110567,298,298,0
2022,1,3110568,329,329,0
2022,1,3110569,1907,1907,0
2022,1,3110570,501,501,0
2022,1,3110571,2323,2323,0
2022,1,3110572,2848,2848,0
2022,1,3110573,191,191,0
2022,1,3110574,174,174,0
2022,1,3110575,2613,2613,0
2022,1,3110576,1118,1118,0
2022,1,3110577,946,946,0
2022,1,3110578,2721,2721,0
2022,1,3110579,791,791,0
2022,1,3110580,1267,1267,0
2022,1,3110582,1393,1393,0
2022,1,3110583,174,174,0
2022,1,3110584,57,57,0
2022,1,3110585,222,222,0
2022,1,3110586,1520,1520,0
2022,1,3110587,3405,3405,0
2022,1,3110588,2908,2908,0
2022,1,3110589,1726,1726,0
2022,1,3110590,2315,2315,0
2022,1,3110591,2292,2292,0
2022,1,3110592,1209,1209,0
2022,1,3110593,6488,6488,0
2022,1,3110594,3348,3348,0
2022,1,3110595,5754,5754,0
2022,1,3110596,3474,3474,0
2022,1,3110597,6200,6200,0
2022,1,3110598,3093,3093,0
2022,1,3110599,4226,4226,0
2022,1,3110600,4497,4497,0
2022,1,3110601,6643,6643,0
2022,1,3110602,1306,1306,0
2022,1,3110603,311,311,0
2022,1,3110604,6868,6868,0
2022,1,3110605,1240,1240,0
2022,1,3110606,7176,7176,0
2022,1,3110607,805,805,0
2022,1,3110608,8507,8507,0
2022,1,3110609,2450,2450,0
2022,1,3110611,4648,4648,0
2022,1,3110612,8225,8225,0
2022,1,3110613,532,532,0
2022,1,3110614,2286,2286,0
2022,1,3110615,1026,1026,0
2022,1,3110616,838,838,0
2022,1,3110617,2327,2327,0
2022,1,3110618,6274,6274,0
2022,1,3110619,1379,1379,0
2022,1,3110620,8547,8547,0
2022,1,3110621,719,719,0
2022,1,3110622,4026,4026,0
2022,1,3110624,2324,2324,0
2022,1,3110625,3327,3327,0
2022,1,3110626,6335,6335,0
2022,1,3110627,2466,2466,0
2022,1,3110628,1350,1350,0
2022,1,3110629,906,906,0
2022,1,3110630,6024,6024,0
2022,1,3110631,3946,3946,0
2022,1,3110632,1526,1526,0
2022,1,3110633,440,440,0
2022,1,3110634,8279,8279,0
2022,1,3110635,2782,2782,0
2022,1,3110636,1260,1260,0
2022,1,3110637,1964,1964,0
2022,1,3110638,5721,5721,0
2022,1,3110639,2885,2885,0
2022,1,3110640,2733,2733,0
2022,1,3110641,1562,1562,0
2022,1,3110643,2293,2293,0
2022,1,3110644,840,840,0
2022,1,3110645,7383,7383,0
2022,1,3110646,8329,8329,0
2022,1,3110647,8626,8626,0
2022,1,3110649,3347,3347,0
2022,1,3110650,894,894,0
2022,1,3110651,6123,6123,0
2022,1,3110652,2053,2053,0
2022,1,3110653,3058,3058,0
2022,1,3110654,12391,12391,0
2022,1,3110655,1014,1014,0
2022,1,3110656,9500,9500,0
2022,1,3110657,1567,1567,0
2022,1,3110658,3078,3078,0
2022,1,3110659,18476,18476,0
2022,1,3110660,1701,1701,0
2022,1,3110661,1446,1446,0
2022,1,3110662,12580,12580,0
2022,1,3110663,1499,1499,0
2022,1,3110664,524,524,0
2022,1,3110665,5173,5173,0
2022,1,3110666,1817,1817,0
2022,1,3110668,8784,8784,0
2022,1,3110670,7458,7458,0
2022,1,3110671,7501,7501,0
