commercial_district_code,area_size
3110008,149264
3110009,178306
3110010,369415
3110017,83855
3110018,166872
3110020,133692
3110001,108529
3110002,31531
3110003,191570
3110004,18781
3110035,95779
3110012,124348
3110014,63411
3110016,522818
3110005,244923
3110006,91486
3110007,80252
3110037,55232
3110039,9928
3110021,77655
3110022,60182
3110023,15969
3110024,52850
3110025,39184
3110027,117673
3110028,159124
3110029,153230
3110030,9161
3110031,32878
3110033,77869
3110057,30230
3110058,135620
3110059,56970
3110036,18431
3110040,76242
3110041,130560
3110042,72607
3110043,110058
3110045,44820
3110047,85386
3110048,135606
3110049,70693
3110053,85550
3110054,69155
3110055,27575
3110056,129607
3110079,293041
3110080,134562
3110081,105010
3110050,34553
3110051,44893
3110052,68893
3110060,94719
3110061,100249
3110062,132684
3110063,110329
3110064,131550
3110082,71140
3110083,58652
3110084,225725
3110085,181830
3110065,18065
3110066,133737
3110067,204936
3110068,145312
3110069,173542
3110070,8437
3110071,27783
3110073,41421
3110074,105922
3110075,128905
3110077,45797
3110078,14864
3110110,51942
3110087,52542
3110088,96560
3110089,105979
3110090,97059
3110092,105153
3110093,234768
3110095,149192
3110096,50068
3110098,41414
3110099,263187
3110102,34682
3110103,19057
3110104,66838
3110109,29788
3110129,70693
3110130,43065
3110131,131865
3110132,76450
3110136,260628
3110105,69009
3110107,22191
3110112,68591
3110113,89115
3110114,27058
3110133,80187
3110134,222826
3110135,136762
3110115,80878
3110116,98083
3110117,49735
3110118,63575
3110120,34852
3110121,29267
3110122,80335
3110123,169553
3110124,79596
3110125,128923
3110126,18531
3110127,38774
3110128,247340
3110157,115158
3110158,166799
3110159,210895
3110160,47848
3110137,330983
3110138,102074
3110139,155861
3110140,179746
3110141,67458
3110142,116892
3110144,42830
3110146,106885
3110147,157029
3110148,45757
3110149,45957
3110150,159510
3110151,107574
3110152,50806
3110153,50068
3110156,153696
3110174,103458
3110175,96115
3110178,45933
3110179,42085
3110154,102102
3110155,97314
3110161,141901
3110162,70945
3110176,135318
3110177,29079
3110163,66483
3110164,85050
3110165,95687
3110166,131620
3110167,154354
3110168,58514
3110169,75500
3110170,120727
3110171,47879
3110172,95499
3110173,49267
3110180,74699
3110181,141747
3110182,59118
3110183,43441
3110206,100623
3110207,29327
3110208,42223
3110209,27972
3110184,24379
3110185,28847
3110186,22890
3110187,159981
3110188,152517
3110189,88499
3110190,101416
3110195,115383
3110197,24771
3110199,69877
