year_quarter_code,commercial_district_code,commercial_district_name,commercial_district_change_indicator_code,commercial_district_change_indicator_name,rdi,store_density
20231,3110014,경복고등학교,LH,상권확장,2.0652048627156123,0.0006938859188468878
20232,3110014,경복고등학교,LH,상권확장,2.1010212166488937,0.0006781157843276403
20233,3110016,평창동동측,HH,정체,1.7686167447662249,0.00020466013029390724
20231,3110016,평창동동측,HH,정체,1.8320683459683462,0.00021039826478812894
20232,3110016,평창동동측,HH,정체,1.8069589973419038,0.00020657284179198115
20233,3110005,세검정,HH,정체,3.0076981076364175,0.0003021357732838484
20231,3110005,세검정,HH,정체,2.8479661999367107,0.0003225503525597841
20232,3110005,세검정,HH,정체,2.960859638304216,0.00031030160499422266
20233,3110006,부암동주민센터,LH,상권확장,1.7182385685301473,0.00025140458649410837
20231,3110006,부암동주민센터,LH,상권확장,1.7192414950046526,0.00024047395229871238
20232,3110006,부암동주민센터,LH,상권확장,1.7417281269640696,0.00024047395229871238
20233,3110007,사직공원(한국사회과학도서관),LH,상권확장,1.5072444435083185,0.0008722524049244878
20231,3110007,사직공원(한국사회과학도서관),LH,상권확장,1.4542554846629527,0.0008847131535662662
20232,3110007,사직공원(한국사회과학도서관),LH,상권확장,1.4873547154459712,0.0008971739022080446
20233,3110037,신설동역 12번,HH,정체,3.1307338353645306,0.00184675550405562
20231,3110037,신설동역 12번,HH,정체,3.3422314812017673,0.001901071842410197
20232,3110037,신설동역 12번,HH,정체,3.2112519577723475,0.0019191772885283893
20233,3110039,회현역 1번,LH,상권확장,1.3044127488898003,0.002115229653505238
20231,3110039,회현역 1번,LH,상권확장,1.2888189110438382,0.002115229653505238
20232,3110039,회현역 1번,LH,상권확장,1.299437221915863,0.002115229653505238
20233,3110021,성균관대학교,HL,상권축소,1.7923908222882998,0.001532419032901938
20231,3110021,성균관대학교,HL,상권축소,1.6711443182562995,0.0015066640911724938
20232,3110021,성균관대학교,HL,상권축소,1.6839843674107293,0.0015066640911724938
20233,3110022,경신고등학교,HH,정체,2.715377110348376,0.001661626399920242
20231,3110022,경신고등학교,HH,정체,2.558543614192068,0.0016283938719218371
20232,3110022,경신고등학교,HH,정체,2.5060320289630633,0.0016450101359210395
20233,3110023,서울대병원,HH,정체,1.0529150724902439,0.002191746508860918
20231,3110023,서울대병원,HH,정체,1.0291143557785687,0.0022543678376855157
20232,3110023,서울대병원,HH,정체,1.049451329243974,0.002191746508860918
20233,3110024,혜회동주민센터,HH,정체,3.953737304183624,0.001967833491012299
20231,3110024,혜회동주민센터,HH,정체,3.6038503946735743,0.002043519394512772
20232,3110024,혜회동주민센터,HH,정체,3.8892392518377727,0.002043519394512772
20233,3110025,충신시장옆,HL,상권축소,1.9436525732294239,0.0014546753777051858
20231,3110025,충신시장옆,HL,상권축소,2.0464599251575817,0.0015057166190281747
20232,3110025,충신시장옆,HL,상권축소,2.022742443321172,0.0015057166190281747
20233,3110027,혜화역 1번,LL,다이나믹,1.7204515025943024,0.0005693744529331283
20231,3110027,혜화역 1번,LL,다이나믹,1.6582252797729362,0.0005608763267699472
20232,3110027,혜화역 1번,LL,다이나믹,1.7135807071349538,0.0005523782006067662
20233,3110028,이화달팽이길,HH,정체,4.39973857626854,0.0012317437972901636
20231,3110028,이화달팽이길,HH,정체,4.186092761721098,0.0012128905759030693
20232,3110028,이화달팽이길,HH,정체,4.170637180571571,0.0012254593901611323
20233,3110029,동대문역 1번,HH,정체,3.460378143769115,0.0010507080858839653
20231,3110029,동대문역 1번,HH,정체,3.4275639139705376,0.0010768126346015793
20232,3110029,동대문역 1번,HH,정체,3.379738213934124,0.0010507080858839653
20233,3110030,동대문역 3번,HH,정체,1.6603690656638241,0.0034930684423097914
20231,3110030,동대문역 3번,HH,정체,1.6305000391292679,0.0033839100534876106
20232,3110030,동대문역 3번,HH,정체,1.6399565931089255,0.0033839100534876106
20233,3110031,창신역 1번,HH,정체,2.7308363536977267,0.0016728511466634224
20231,3110031,창신역 1번,HL,상권축소,2.6170631851885546,0.0017032666220573027
20232,3110031,창신역 1번,HL,상권축소,2.6723753977209364,0.0016728511466634224
20233,3110033,창신역 4번,HH,정체,2.944802784136684,0.0013227343358717847
20231,3110033,창신역 4번,HH,정체,2.7464193753537995,0.0012842080930794025
20232,3110033,창신역 4번,HH,정체,2.8218241336546237,0.0013098922549409906
20233,3110057,황학코아루아파트,HH,정체,2.690589754840416,0.004002646377770426
20231,3110057,황학코아루아파트,HH,정체,2.605838215162259,0.004201124710552432
20232,3110057,황학코아루아파트,HH,정체,2.5860744128011626,0.004035726099900761
20233,3110058,성심여자고등학교,HH,정체,2.3698498305126083,0.0019392419997050583
20231,3110058,성심여자고등학교,HH,정체,2.450606638248229,0.0019466155434301725
20232,3110058,성심여자고등학교,HH,정체,2.454578626302534,0.0019761097183306296
20233,3110059,새남터성지,HH,정체,2.511302226986667,0.002176584167105494
20231,3110059,새남터성지,HH,정체,2.4579667428629075,0.002176584167105494
20232,3110059,새남터성지,HH,정체,2.4615437397824627,0.0021590310689836756
20233,3110036,동묘앞역 3번,LL,다이나믹,1.5680533107609098,0.0030926157018067385
20231,3110036,동묘앞역 3번,LL,다이나믹,1.45758273831504,0.0030383592859855677
20232,3110036,동묘앞역 3번,LL,다이나믹,1.5568900074340812,0.0031468721176279094
20233,3110040,중구회현체육센터(정화예술대남산캠퍼스),HH,정체,2.1603964443153156,0.0014690065842973689
20231,3110040,중구회현체육센터(정화예술대남산캠퍼스),HH,정체,2.2623441813240723,0.0014821227145143097
20232,3110040,중구회현체육센터(정화예술대남산캠퍼스),HH,정체,2.2695598419750542,0.0014690065842973689
20233,3110041,남산케이블카,LL,다이나믹,1.312508413206793,0.0010646446078431372
20231,3110041,남산케이블카,LL,다이나믹,1.3194036234439945,0.0010493259803921568
20232,3110041,남산케이블카,LL,다이나믹,1.2989105650179043,0.0010493259803921568
20233,3110042,남산골공원옆,LH,상권확장,2.0685056926637375,0.0009090032641480849
20231,3110042,남산골공원옆,LH,상권확장,2.2056624723317295,0.0009227760408776014
20232,3110042,남산골공원옆,LH,상권확장,2.151584580333095,0.0009365488176071178
20233,3110043,충무초등학교,HH,정체,4.378608919024962,0.0018081375274855076
20231,3110043,충무초등학교,HH,정체,3.7545454545454544,0.0018081375274855076
20232,3110043,충무초등학교,HH,정체,3.9163044083257987,0.0018263097639426484
20233,3110045,동대문역사문화공원역 5번,HH,정체,1.5326110634153842,0.002320392681838465
20231,3110045,동대문역사문화공원역 5번,HH,정체,1.5851117084770514,0.002298081213743864
20232,3110045,동대문역사문화공원역 5번,HH,정체,1.5582062744522986,0.0022757697456492637
